time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
2.44,0.0,2.665,9.215,1.5290000000000001,-0.004,-0.011000000000000001,-0.009000000000000001,-12.9,-38.0,47.0,0.0
2.46,0.020000000000000018,2.668,9.238,1.4969999999999999,-0.002,-0.013000000000000001,-0.01,-12.0,-38.1,46.5,0.0
2.48,0.040000000000000036,2.642,9.235,1.4180000000000001,-0.005,-0.012,-0.003,-13.0,-39.3,45.5,0.0
2.5,0.06000000000000005,2.645,9.274,1.4569999999999999,-0.004,-0.012,-0.004,-12.8,-37.9,46.7,0.0
2.52,0.08000000000000007,2.6639999999999997,9.258,1.3459999999999999,-0.004,-0.009000000000000001,-0.002,-12.5,-38.1,45.6,0.0
2.54,0.10000000000000009,2.5980000000000003,9.203,1.31,-0.003,-0.011000000000000001,-0.006999999999999999,-13.4,-38.6,45.7,0.0
2.56,0.1200000000000001,2.585,9.287,1.4169999999999998,0.0,-0.013000000000000001,-0.001,-12.2,-37.9,46.3,0.0
2.58,0.14000000000000012,2.583,9.265,1.459,0.003,-0.017,0.0,-13.4,-38.7,45.8,0.0
2.6,0.16000000000000014,2.6060000000000003,9.29,1.405,0.0,-0.023,-0.0,-12.8,-37.4,46.8,0.0
2.62,0.18000000000000016,2.6239999999999997,9.264,1.409,-0.002,-0.021,-0.006999999999999999,-12.2,-38.5,46.6,0.0
2.64,0.20000000000000018,2.655,9.208,1.44,0.001,-0.017,-0.003,-12.1,-38.0,46.7,0.0
2.66,0.2200000000000002,2.6289999999999996,9.186,1.409,-0.004,-0.021,-0.005,-12.4,-39.0,46.0,0.0
2.68,0.2400000000000002,2.6519999999999997,9.275,1.393,0.001,-0.006999999999999999,-0.013999999999999999,-12.7,-38.8,46.8,0.0
2.7,0.26000000000000023,2.659,9.371,1.443,-0.002,-0.013999999999999999,-0.012,-12.5,-38.9,45.8,0.0
2.72,0.28000000000000025,2.725,9.227,1.436,0.001,-0.006,-0.016,-12.1,-38.3,46.1,0.0
2.74,0.30000000000000027,2.679,9.211,1.4180000000000001,0.006,-0.015,-0.017,-12.2,-39.4,46.9,0.0
2.76,0.31999999999999984,2.6719999999999997,9.158999999999999,1.432,0.006999999999999999,0.004,-0.004,-12.5,-38.8,46.6,0.0
2.78,0.33999999999999986,2.592,9.209,1.446,-0.001,0.004,-0.003,-10.8,-37.6,46.9,0.0
2.8,0.3599999999999999,2.549,9.251,1.392,0.004,0.001,-0.009000000000000001,-13.2,-38.0,46.5,0.0
2.82,0.3799999999999999,2.6189999999999998,9.279,1.368,0.001,-0.002,-0.012,-11.2,-38.3,45.5,0.0
2.84,0.3999999999999999,2.6319999999999997,9.229,1.347,0.004,-0.015,-0.011000000000000001,-12.3,-38.2,46.3,0.0
2.86,0.41999999999999993,2.6719999999999997,9.267999999999999,1.4040000000000001,0.0,-0.004,-0.008,-12.9,-38.1,45.8,0.0
2.88,0.43999999999999995,2.7310000000000003,9.226,1.401,0.006,-0.015,-0.005,-13.3,-38.2,45.6,0.0
2.9,0.45999999999999996,2.696,9.265,1.4509999999999998,-0.002,-0.006,-0.006999999999999999,-12.6,-39.4,46.4,0.0
2.92,0.48,2.637,9.19,1.432,0.006,0.002,0.0,-12.8,-38.9,46.4,0.0
2.94,0.5,2.6189999999999998,9.247,1.508,0.003,0.005,-0.003,-12.7,-38.6,46.8,0.0
2.96,0.52,2.639,9.248,1.4609999999999999,-0.001,0.005,-0.006,-12.6,-38.4,45.2,0.0
2.98,0.54,2.701,9.208,1.44,0.0,0.006,-0.008,-11.9,-37.8,45.2,0.0
3.0,0.56,2.655,9.185,1.4680000000000002,-0.001,0.016,-0.002,-12.3,-37.9,47.0,0.0
3.02,0.5800000000000001,2.647,9.253,1.3940000000000001,0.003,0.023,-0.004,-12.6,-37.5,44.9,0.0
3.04,0.6000000000000001,2.655,9.26,1.4280000000000002,-0.002,0.025,-0.001,-12.8,-37.3,46.1,0.0
3.06,0.6200000000000001,2.6430000000000002,9.276,1.395,-0.004,0.015,-0.002,-13.6,-38.8,46.9,0.0
3.08,0.6400000000000001,2.6189999999999998,9.294,1.357,0.0,0.013000000000000001,-0.006,-12.4,-37.5,47.0,0.0
3.1,0.6600000000000001,2.6189999999999998,9.261000000000001,1.31,-0.003,0.009000000000000001,-0.006999999999999999,-12.0,-37.9,46.7,0.0
3.12,0.6800000000000002,2.539,9.253,1.4240000000000002,-0.002,0.008,-0.006999999999999999,-12.8,-39.0,46.7,0.0
3.14,0.7000000000000002,2.572,9.215,1.486,0.002,-0.001,-0.008,-13.3,-38.2,46.9,0.0
3.16,0.7200000000000002,2.5989999999999998,9.191,1.484,-0.003,0.003,-0.005,-11.6,-37.5,46.3,0.0
3.18,0.7400000000000002,2.59,9.225,1.4140000000000001,0.001,0.006999999999999999,-0.006999999999999999,-12.1,-38.5,46.8,0.0
3.2,0.7600000000000002,2.5580000000000003,9.307,1.432,0.002,0.0,-0.005,-12.9,-37.6,45.8,0.0
3.22,0.7800000000000002,2.658,9.283,1.4040000000000001,-0.0,-0.0,-0.012,-12.0,-38.0,45.7,0.0
3.24,0.8000000000000003,2.613,9.226,1.32,-0.002,-0.002,-0.01,-12.2,-38.8,46.6,0.0
3.26,0.8199999999999998,2.673,9.214,1.3940000000000001,0.0,-0.006999999999999999,-0.011000000000000001,-13.2,-38.8,46.4,0.0
3.28,0.8399999999999999,2.6689999999999996,9.251,1.415,-0.008,0.001,-0.005,-13.0,-38.7,46.2,0.0
3.3,0.8599999999999999,2.603,9.216000000000001,1.415,-0.003,-0.001,-0.003,-11.6,-38.6,47.0,0.0
3.32,0.8799999999999999,2.665,9.327,1.43,-0.002,-0.009000000000000001,-0.005,-12.8,-38.6,46.4,0.0
3.34,0.8999999999999999,2.545,9.24,1.4369999999999998,-0.002,-0.004,-0.006,-13.8,-39.0,46.7,0.0
3.36,0.9199999999999999,2.6889999999999996,9.165,1.421,-0.0,-0.003,0.0,-12.7,-38.2,47.0,0.0
3.38,0.94,2.6660000000000004,9.201,1.376,-0.004,0.004,-0.004,-12.8,-38.3,46.6,0.0
3.4,0.96,2.641,9.173,1.4509999999999998,-0.008,0.0,-0.003,-12.4,-38.5,47.3,0.0
3.42,0.98,2.605,9.352,1.3619999999999999,-0.01,-0.003,-0.003,-13.0,-38.9,45.5,0.0
3.44,1.0,2.6180000000000003,9.331,1.348,-0.002,-0.011000000000000001,-0.009000000000000001,-12.0,-38.7,46.8,1.0
3.46,1.02,2.6630000000000003,9.28,1.359,-0.001,-0.017,-0.002,-12.6,-38.4,46.9,1.0
3.48,1.04,2.592,9.228,1.443,0.008,-0.021,-0.002,-13.1,-39.3,46.9,1.0
3.5,1.06,2.565,9.137,1.4680000000000002,0.006,-0.009000000000000001,0.004,-13.1,-37.1,45.8,1.0
3.52,1.08,2.583,9.175,1.489,0.006,-0.006,0.009000000000000001,-12.6,-38.4,46.3,1.0
3.54,1.1,2.611,9.181000000000001,1.4569999999999999,-0.0,-0.009000000000000001,-0.002,-13.2,-38.8,46.3,1.0
3.56,1.12,2.661,9.198,1.483,0.005,-0.019,-0.013000000000000001,-13.4,-38.8,46.9,1.0
3.58,1.1400000000000001,2.739,9.206,1.3719999999999999,-0.001,-0.009000000000000001,-0.013000000000000001,-12.4,-38.2,45.7,1.0
3.6,1.1600000000000001,2.7880000000000003,9.202,1.261,-0.001,-0.009000000000000001,-0.004,-12.5,-38.0,46.3,1.0
3.62,1.1800000000000002,2.8160000000000003,9.203,1.3459999999999999,-0.0,-0.002,-0.005,-12.3,-39.3,46.5,1.0
3.64,1.2000000000000002,2.705,9.212,1.331,0.002,0.006,0.009000000000000001,-13.9,-38.7,47.7,1.0
3.66,1.2200000000000002,2.5780000000000003,9.203,1.359,-0.003,0.002,-0.002,-12.1,-37.3,46.3,1.0
3.68,1.2400000000000002,2.605,9.238,1.4369999999999998,-0.0,0.006999999999999999,-0.002,-12.4,-37.4,45.6,1.0
3.7,1.2600000000000002,2.58,9.277999999999999,1.455,0.002,0.006,-0.005,-13.7,-38.5,46.6,1.0
3.72,1.2800000000000002,2.582,9.272,1.493,0.002,0.005,-0.011000000000000001,-12.8,-39.4,46.7,1.0
3.74,1.3000000000000003,2.687,9.261000000000001,1.536,-0.001,0.011000000000000001,-0.01,-12.6,-38.7,45.5,1.0
3.76,1.3199999999999998,2.7030000000000003,9.23,1.415,0.001,0.015,-0.006999999999999999,-12.3,-37.6,46.1,1.0
3.78,1.3399999999999999,2.5980000000000003,9.298,1.392,0.003,0.023,-0.005,-11.9,-39.7,45.9,1.0
3.8,1.3599999999999999,2.5610000000000004,9.256,1.382,-0.006999999999999999,0.018000000000000002,-0.008,-13.1,-38.0,47.4,1.0
3.82,1.38,2.6210000000000004,9.293,1.412,-0.005,0.004,-0.008,-12.8,-39.1,45.3,1.0
3.84,1.4,2.6510000000000002,9.216000000000001,1.395,0.0,-0.003,-0.01,-11.4,-39.0,46.3,1.0
3.86,1.42,2.675,9.216000000000001,1.4509999999999998,-0.0,-0.003,-0.01,-12.0,-38.2,46.6,1.0
3.88,1.44,2.655,9.224,1.4380000000000002,-0.004,-0.003,-0.004,-12.2,-38.9,46.6,1.0
3.9,1.46,2.7110000000000003,9.175,1.443,-0.006,-0.001,-0.011000000000000001,-12.6,-37.5,46.5,1.0
3.92,1.48,2.605,9.2,1.5,-0.001,0.005,-0.004,-12.2,-37.2,47.4,1.0
3.94,1.5,2.6,9.25,1.506,0.0,0.006,-0.005,-12.6,-38.7,46.0,1.0
3.96,1.52,2.638,9.196,1.5590000000000002,0.005,0.012,-0.006999999999999999,-12.8,-39.1,47.0,1.0
3.98,1.54,2.6,9.24,1.419,0.009000000000000001,0.015,-0.006,-12.5,-39.3,46.3,1.0
4.0,1.56,2.647,9.288,1.36,0.008,0.016,-0.008,-11.8,-38.5,46.9,1.0
4.02,1.5799999999999996,2.603,9.231,1.426,0.006999999999999999,0.008,-0.01,-12.8,-38.0,47.3,1.0
4.04,1.6,2.6510000000000002,9.292,1.429,0.013000000000000001,0.005,-0.009000000000000001,-13.3,-39.4,46.4,1.0
4.06,1.6199999999999997,2.678,9.168,1.393,0.009000000000000001,-0.004,-0.012,-13.6,-38.3,45.4,1.0
4.08,1.6400000000000001,2.736,9.264,1.376,0.002,0.004,-0.01,-12.3,-38.3,47.6,1.0
4.1,1.6599999999999997,2.688,9.16,1.496,0.005,0.01,-0.005,-12.4,-38.6,46.6,1.0
4.12,1.6800000000000002,2.7239999999999998,9.232999999999999,1.435,0.0,0.012,-0.001,-12.5,-37.9,46.7,1.0
4.14,1.6999999999999997,2.658,9.189,1.46,0.0,0.006,-0.004,-11.9,-38.3,46.6,1.0
4.16,1.7200000000000002,2.6710000000000003,9.271,1.482,-0.006,0.012,-0.003,-13.0,-38.4,45.3,1.0
4.18,1.7399999999999998,2.675,9.308,1.443,-0.004,0.003,-0.009000000000000001,-13.3,-37.8,46.9,1.0
4.2,1.7600000000000002,2.759,9.32,1.4669999999999999,0.001,0.006999999999999999,-0.009000000000000001,-13.4,-39.3,46.0,1.0
4.22,1.7799999999999998,2.654,9.234,1.4469999999999998,0.009000000000000001,0.016,-0.006999999999999999,-11.5,-38.0,46.1,1.0
