time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
1.76,2.220446049250313e-16,9.431000000000001,0.278,1.45,-0.064,0.018000000000000002,0.001,-34.8,-38.1,16.3,0.0
1.78,0.02000000000000024,9.596,0.316,1.43,-0.05,-0.005,0.003,-34.1,-37.7,16.7,0.0
1.8,0.04000000000000026,9.599,0.315,1.43,-0.052000000000000005,0.01,0.008,-34.5,-37.1,16.5,0.0
1.82,0.060000000000000275,9.565,0.223,1.4580000000000002,-0.044000000000000004,0.013000000000000001,0.003,-33.5,-36.9,16.1,0.0
1.84,0.0800000000000003,9.586,0.196,1.42,-0.033,0.012,-0.001,-35.3,-36.9,16.6,0.0
1.86,0.10000000000000031,9.559,0.276,1.416,-0.027000000000000003,0.017,0.0,-34.4,-37.6,17.1,0.0
1.88,0.1200000000000001,9.615,0.327,1.455,-0.025,0.015,-0.004,-34.4,-35.4,17.2,0.0
1.9,0.14000000000000012,9.552999999999999,0.353,1.415,-0.027999999999999997,0.009000000000000001,0.003,-34.7,-37.0,16.9,0.0
1.92,0.16000000000000014,9.566,0.317,1.4780000000000002,-0.04,0.013999999999999999,0.008,-33.4,-37.6,17.0,0.0
1.94,0.18000000000000016,9.544,0.298,1.475,-0.036000000000000004,0.021,0.008,-35.0,-37.9,16.7,0.0
1.96,0.20000000000000018,9.488,0.33899999999999997,1.395,-0.031,0.027000000000000003,-0.002,-34.0,-36.5,16.8,0.0
1.98,0.2200000000000002,9.542,0.363,1.4969999999999999,-0.016,0.016,-0.001,-34.0,-37.4,16.7,0.0
2.0,0.2400000000000002,9.544,0.37200000000000005,1.518,-0.03,0.031,0.003,-34.8,-36.4,15.7,0.0
2.02,0.26000000000000023,9.441,0.366,1.518,-0.031,0.022000000000000002,0.006999999999999999,-34.9,-36.7,16.0,0.0
2.04,0.28000000000000025,9.525,0.294,1.4980000000000002,-0.022000000000000002,0.004,0.005,-34.8,-38.6,17.0,0.0
2.06,0.30000000000000027,9.663,0.289,1.439,-0.006999999999999999,-0.001,0.006,-34.5,-37.0,16.8,0.0
2.08,0.3200000000000003,9.615,0.353,1.429,-0.01,0.005,-0.0,-34.8,-37.2,17.0,0.0
2.1,0.3400000000000003,9.584,0.319,1.49,-0.024,0.028999999999999998,0.009000000000000001,-34.2,-36.6,17.2,0.0
2.12,0.3600000000000003,9.54,0.28800000000000003,1.4709999999999999,-0.036000000000000004,0.021,0.011000000000000001,-32.6,-37.8,17.3,0.0
2.14,0.38000000000000034,9.501,0.218,1.4769999999999999,-0.031,0.03,0.006999999999999999,-33.9,-36.4,17.4,0.0
2.16,0.40000000000000036,9.506,0.32799999999999996,1.473,-0.016,0.02,0.005,-35.0,-37.3,17.1,0.0
2.18,0.4200000000000004,9.468,0.349,1.47,-0.015,0.02,-0.01,-34.3,-36.1,17.0,0.0
2.2,0.4400000000000004,9.551,0.42100000000000004,1.463,-0.031,0.008,0.009000000000000001,-34.3,-36.7,17.9,0.0
2.22,0.4600000000000004,9.508,0.38799999999999996,1.43,-0.043,0.02,0.011000000000000001,-34.7,-38.1,16.7,0.0
2.24,0.4800000000000004,9.481,0.33,1.5330000000000001,-0.05,0.016,0.011000000000000001,-33.8,-37.6,17.4,0.0
2.26,0.5,9.549,0.389,1.51,-0.040999999999999995,0.019,0.005,-35.5,-36.8,16.9,0.0
2.28,0.52,9.547,0.375,1.4869999999999999,-0.040999999999999995,0.016,0.006999999999999999,-33.1,-36.9,16.0,0.0
2.3,0.54,9.658999999999999,0.379,1.411,-0.051,0.009000000000000001,0.022000000000000002,-33.8,-35.7,16.4,0.0
2.32,0.56,9.578,0.369,1.584,-0.055999999999999994,0.024,0.016,-34.6,-37.9,16.4,0.0
2.34,0.5800000000000001,9.512,0.363,1.454,-0.053,0.043,0.009000000000000001,-35.2,-37.4,17.0,0.0
2.36,0.6000000000000001,9.456,0.33299999999999996,1.52,-0.055,0.037000000000000005,0.004,-33.6,-36.2,16.9,0.0
2.38,0.6200000000000001,9.54,0.311,1.518,-0.052000000000000005,0.026000000000000002,0.011000000000000001,-33.4,-36.9,17.1,0.0
2.4,0.6400000000000001,9.602,0.331,1.571,-0.04,0.033,0.016,-34.4,-35.9,15.8,0.0
2.42,0.6600000000000001,9.546,0.358,1.5019999999999998,-0.036000000000000004,0.032,0.006999999999999999,-34.7,-36.4,16.7,0.0
2.44,0.6800000000000002,9.517000000000001,0.337,1.56,-0.031,0.019,0.013000000000000001,-33.2,-37.2,16.4,0.0
2.46,0.7000000000000002,9.412,0.24,1.5919999999999999,-0.027000000000000003,-0.01,0.01,-33.8,-38.2,16.1,0.0
2.48,0.7200000000000002,9.579,0.29600000000000004,1.534,-0.02,-0.006,0.005,-34.7,-37.9,16.8,0.0
2.5,0.7400000000000002,9.686,0.33,1.5219999999999998,-0.012,0.001,0.006,-35.1,-37.5,16.9,0.0
2.52,0.7600000000000002,9.64,0.465,1.5519999999999998,-0.013000000000000001,-0.004,0.005,-34.3,-38.6,16.1,0.0
2.54,0.7800000000000002,9.557,0.469,1.508,-0.027000000000000003,0.015,0.001,-34.3,-37.8,17.4,0.0
2.56,0.8000000000000003,9.555,0.391,1.531,-0.027000000000000003,0.01,0.005,-35.2,-38.4,15.8,0.0
2.58,0.8200000000000003,9.576,0.364,1.5390000000000001,-0.035,0.011000000000000001,0.009000000000000001,-34.8,-36.9,17.7,0.0
2.6,0.8400000000000003,9.529,0.364,1.499,-0.038,0.024,-0.002,-33.6,-37.2,16.9,0.0
2.62,0.8600000000000003,9.533,0.35700000000000004,1.422,-0.035,0.023,-0.01,-34.6,-38.7,17.2,0.0
2.64,0.8800000000000003,9.578,0.368,1.4369999999999998,-0.036000000000000004,0.016,0.005,-34.0,-36.3,16.0,0.0
2.66,0.9000000000000004,9.574,0.39299999999999996,1.475,-0.048,0.02,0.005,-34.2,-38.3,17.0,0.0
2.68,0.9200000000000004,9.547,0.391,1.525,-0.049,0.02,0.005,-34.9,-36.9,16.9,0.0
2.7,0.9400000000000004,9.434,0.321,1.4669999999999999,-0.05,0.016,0.012,-34.3,-37.0,17.0,0.0
2.72,0.9600000000000004,9.572000000000001,0.306,1.453,-0.039,-0.001,0.006,-34.0,-37.8,17.8,0.0
2.74,0.9800000000000004,9.557,0.408,1.5390000000000001,-0.037000000000000005,0.008,0.009000000000000001,-34.3,-37.7,16.9,0.0
2.76,1.0,9.574,0.41600000000000004,1.504,-0.032,-0.005,0.004,-33.7,-36.0,17.0,1.0
2.78,1.02,9.481,0.29100000000000004,1.494,-0.034,0.005,0.006,-32.2,-36.3,17.7,1.0
2.8,1.04,9.467,0.379,1.506,-0.04,-0.013000000000000001,0.013000000000000001,-34.2,-36.4,16.6,1.0
2.82,1.06,9.367,0.33899999999999997,1.5819999999999999,-0.044000000000000004,-0.038,0.009000000000000001,-34.6,-37.7,16.2,1.0
2.84,1.08,9.423,0.409,1.476,-0.055,-0.04,0.008,-35.1,-36.8,16.7,1.0
2.86,1.1,9.513,0.361,1.5,-0.042,-0.039,0.01,-35.8,-38.7,18.5,1.0
2.88,1.12,9.619,0.363,1.496,-0.042,-0.033,0.008,-34.2,-37.0,16.8,1.0
2.9,1.1400000000000001,9.74,0.45399999999999996,1.518,-0.057,-0.033,0.01,-34.0,-37.2,16.9,1.0
2.92,1.1600000000000001,9.765,0.348,1.555,-0.054000000000000006,-0.013999999999999999,0.011000000000000001,-33.9,-37.3,16.2,1.0
2.94,1.1800000000000002,9.665,0.379,1.4780000000000002,-0.05,0.026000000000000002,0.006999999999999999,-33.8,-37.4,16.8,1.0
2.96,1.2000000000000002,9.631,0.306,1.386,-0.047,0.05,0.004,-34.6,-36.7,18.1,1.0
2.98,1.2200000000000002,9.721,0.368,1.504,-0.024,0.043,0.005,-34.1,-37.6,17.0,1.0
3.0,1.2400000000000002,9.697000000000001,0.353,1.483,-0.036000000000000004,0.09699999999999999,0.0,-33.9,-37.5,16.6,1.0
3.02,1.2600000000000002,9.497,0.379,1.4869999999999999,-0.032,0.12,0.0,-33.3,-37.5,16.1,1.0
3.04,1.2800000000000002,9.306000000000001,0.385,1.4609999999999999,-0.038,0.11,0.006,-34.4,-37.0,17.1,1.0
3.06,1.3000000000000003,9.252,0.354,1.515,-0.039,0.08800000000000001,0.001,-33.5,-35.7,17.1,1.0
3.08,1.3200000000000003,9.387,0.34600000000000003,1.5330000000000001,-0.03,0.036000000000000004,0.008,-35.2,-36.2,15.4,1.0
3.1,1.3400000000000003,9.506,0.364,1.463,-0.031,0.027999999999999997,0.006999999999999999,-33.6,-37.2,17.1,1.0
3.12,1.3600000000000003,9.396,0.255,1.546,-0.021,0.036000000000000004,0.006,-34.4,-36.3,17.3,1.0
3.14,1.3800000000000003,9.414,0.344,1.486,-0.017,0.057,0.001,-34.7,-37.6,16.6,1.0
3.16,1.4000000000000004,9.374,0.42200000000000004,1.555,-0.023,0.062,-0.003,-35.0,-37.4,17.4,1.0
3.18,1.4200000000000004,9.423,0.478,1.52,-0.022000000000000002,0.07400000000000001,0.006999999999999999,-35.2,-37.1,16.6,1.0
3.2,1.4400000000000004,9.495,0.6579999999999999,1.527,-0.032,0.073,0.02,-34.5,-36.2,15.0,1.0
3.22,1.4600000000000004,9.582,0.54,1.645,-0.075,0.049,0.021,-33.1,-37.6,16.4,1.0
3.24,1.4800000000000004,9.81,0.23600000000000002,1.485,-0.134,0.025,-0.008,-33.4,-37.9,16.3,1.0
3.26,1.5,9.599,-0.081,1.358,-0.102,0.018000000000000002,-0.05,-32.9,-37.5,16.4,1.0
3.28,1.52,9.541,-0.092,1.275,0.013999999999999999,0.038,-0.07,-36.4,-36.9,16.9,1.0
3.3,1.54,9.387,0.08800000000000001,1.2930000000000001,0.003,0.067,-0.052000000000000005,-34.4,-37.0,15.8,1.0
3.32,1.56,9.321,0.21600000000000003,1.3430000000000002,-0.04,0.086,0.057999999999999996,-33.9,-38.2,17.8,1.0
3.34,1.58,9.6,-0.001,1.4869999999999999,-0.055,0.067,0.086,-34.4,-37.9,16.2,1.0
3.36,1.6,9.611,-0.133,1.465,-0.042,0.057,0.071,-33.4,-38.1,16.1,1.0
3.38,1.62,9.496,-0.19,1.425,0.01,0.048,0.04,-33.5,-37.8,16.0,1.0
3.4,1.6400000000000001,9.521,-0.171,1.107,0.004,0.046,0.034,-34.2,-38.2,16.3,1.0
3.42,1.6600000000000001,9.481,-0.38,0.93,-0.047,0.026000000000000002,0.03,-33.6,-36.7,16.6,1.0
3.44,1.6800000000000002,9.835,-0.479,0.825,-0.005,0.023,0.038,-33.7,-37.8,16.0,1.0
3.46,1.7000000000000002,10.117,-0.11800000000000001,0.8540000000000001,0.005,0.003,0.057,-35.2,-37.0,15.7,1.0
3.48,1.7200000000000002,10.253,0.012,0.809,-0.115,0.055,0.027000000000000003,-33.7,-37.7,16.2,1.0
3.5,1.7400000000000002,10.027000000000001,0.096,0.9620000000000001,-0.146,0.152,-0.023,-33.9,-36.2,15.9,1.0
3.52,1.7600000000000002,9.673,-0.11900000000000001,1.26,-0.16699999999999998,0.21100000000000002,-0.073,-33.6,-37.7,16.7,1.0
3.54,1.7800000000000002,9.359,-0.6459999999999999,1.702,-0.179,0.207,-0.105,-34.1,-36.8,16.0,1.0
3.56,1.8000000000000003,8.978,-0.9840000000000001,2.049,-0.11599999999999999,0.207,-0.149,-33.4,-37.5,15.4,1.0
3.58,1.8200000000000003,8.503,-0.733,2.149,0.028999999999999998,0.17,-0.14800000000000002,-33.8,-37.9,15.8,1.0
3.6,1.8400000000000003,8.353,-0.163,1.891,0.127,0.155,-0.11699999999999999,-33.5,-36.7,16.6,1.0
3.62,1.8600000000000003,8.818999999999999,-0.009000000000000001,1.814,0.182,0.052000000000000005,-0.109,-34.0,-37.4,17.1,1.0
3.64,1.8800000000000003,9.711,-0.256,2.155,0.331,-0.23,-0.163,-33.2,-38.4,15.5,1.0
3.66,1.9000000000000004,10.03,-0.25,1.4340000000000002,0.536,-0.166,-0.205,-33.6,-38.4,16.3,1.0
3.68,1.9200000000000004,9.08,1.2590000000000001,0.233,0.56,0.151,-0.159,-32.6,-39.8,16.1,1.0
3.7,1.9400000000000004,9.331,2.294,-0.7509999999999999,0.52,-0.006,-0.134,-32.4,-39.5,16.8,1.0
3.72,1.9600000000000004,10.286,2.502,-0.995,0.35100000000000003,-0.17300000000000001,-0.09300000000000001,-33.1,-39.3,16.9,1.0
3.74,1.9800000000000004,11.857999999999999,1.889,-0.091,0.166,-0.08900000000000001,-0.183,-33.0,-38.4,16.8,1.0
3.76,2.0,11.255999999999998,1.089,-0.107,0.177,0.09300000000000001,-0.47600000000000003,-31.5,-40.3,17.7,1.0
3.78,2.02,9.538,1.381,0.001,0.23399999999999999,0.379,-0.523,-32.6,-41.0,17.6,1.0
3.8,2.04,9.245,1.795,-0.34299999999999997,0.43200000000000005,0.17,-0.539,-33.3,-39.9,16.8,1.0
3.82,2.06,9.344,1.716,-0.297,0.331,0.156,-0.508,-31.5,-40.4,16.9,1.0
3.84,2.08,9.109,1.335,-0.136,0.397,0.196,-0.48200000000000004,-31.9,-40.7,17.0,1.0
3.86,2.1,9.112,1.4809999999999999,-0.327,0.409,0.341,-0.526,-32.5,-40.9,18.0,1.0
