time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
4.96,0.0,9.562000000000001,0.095,2.197,0.017,0.0,-0.016,-11.3,-3.2,-4.8,0.0
4.98,0.020000000000000462,9.561,0.20600000000000002,2.1590000000000003,0.035,-0.005,-0.005,-12.7,-2.5,-5.9,0.0
5.0,0.040000000000000036,9.53,0.17,2.138,0.008,-0.006999999999999999,-0.009000000000000001,-12.7,-2.8,-5.0,0.0
5.02,0.05999999999999961,9.693999999999999,0.038,2.182,0.013000000000000001,-0.006999999999999999,-0.008,-11.3,-2.1,-6.3,0.0
5.04,0.08000000000000007,9.556000000000001,0.18100000000000002,2.164,0.005,-0.002,-0.012,-11.4,-2.7,-5.1,0.0
5.06,0.09999999999999964,9.564,0.203,2.228,0.004,0.013000000000000001,-0.013999999999999999,-13.7,-2.4,-5.7,0.0
5.08,0.1200000000000001,9.582,0.184,2.208,-0.002,0.019,-0.013000000000000001,-13.0,-3.5,-5.8,0.0
5.1,0.13999999999999968,9.469,0.10300000000000001,2.128,-0.008,0.02,-0.021,-13.0,-4.0,-5.6,0.0
5.12,0.16000000000000014,9.562000000000001,0.102,2.181,0.004,0.02,-0.011000000000000001,-10.5,-3.7,-3.7,0.0
5.14,0.17999999999999972,9.517000000000001,0.161,2.206,0.005,0.016,-0.016,-12.4,-3.4,-5.2,0.0
5.16,0.20000000000000018,9.642000000000001,0.08800000000000001,2.142,-0.003,0.022000000000000002,-0.016,-12.3,-3.2,-5.0,0.0
5.18,0.21999999999999975,9.558,0.077,2.2319999999999998,-0.008,0.03,-0.017,-11.8,-2.0,-6.4,0.0
5.2,0.2400000000000002,9.638,0.182,2.16,-0.013999999999999999,0.036000000000000004,-0.022000000000000002,-12.6,-3.5,-6.3,0.0
5.22,0.2599999999999998,9.524,0.177,2.161,-0.005,0.028999999999999998,-0.026000000000000002,-12.6,-3.5,-6.2,0.0
5.24,0.28000000000000025,9.594,0.17600000000000002,2.145,-0.002,0.037000000000000005,-0.023,-11.7,-2.9,-4.9,0.0
5.26,0.2999999999999998,9.558,0.24,2.226,-0.005,0.028999999999999998,-0.02,-12.2,-2.6,-6.7,0.0
5.28,0.3200000000000003,9.591000000000001,0.207,2.215,-0.008,0.032,-0.021,-11.0,-3.7,-5.5,0.0
5.3,0.33999999999999986,9.547,0.153,2.258,-0.003,0.034,-0.023,-12.7,-3.3,-5.0,0.0
5.32,0.3600000000000003,9.488999999999999,0.252,2.275,-0.008,0.045,-0.03,-12.3,-3.7,-6.8,0.0
5.34,0.3799999999999999,9.558,0.172,2.28,-0.013000000000000001,0.061,-0.028999999999999998,-11.7,-3.4,-6.4,0.0
5.36,0.40000000000000036,9.464,0.165,2.114,0.016,0.034,-0.027000000000000003,-12.9,-4.3,-6.2,0.0
5.38,0.41999999999999993,9.482000000000001,0.26899999999999996,2.174,-0.004,0.035,-0.033,-11.5,-3.9,-6.3,0.0
5.4,0.4400000000000004,9.527000000000001,0.16899999999999998,2.333,-0.013000000000000001,0.023,-0.033,-12.4,-2.3,-5.4,0.0
5.42,0.45999999999999996,9.61,0.179,2.262,-0.01,0.024,0.003,-11.8,-3.1,-5.8,0.0
5.44,0.4800000000000004,9.514,0.15,2.121,0.019,0.037000000000000005,-0.022000000000000002,-12.5,-3.4,-5.3,0.0
5.46,0.5,9.468,0.297,2.16,0.037000000000000005,0.025,-0.018000000000000002,-12.8,-4.4,-6.4,0.0
5.48,0.5200000000000005,9.724,0.205,2.29,0.036000000000000004,0.031,-0.047,-11.6,-3.7,-5.1,0.0
5.5,0.54,9.501,0.185,2.222,0.026000000000000002,0.031,-0.027999999999999997,-11.1,-2.9,-6.0,0.0
5.52,0.5599999999999996,9.529,0.21,2.2230000000000003,0.021,0.031,-0.021,-12.1,-3.6,-5.7,0.0
5.54,0.5800000000000001,9.425,0.292,2.211,0.023,0.032,-0.012,-12.5,-2.9,-6.6,0.0
5.56,0.5999999999999996,9.412,0.298,2.319,0.02,0.037000000000000005,-0.024,-13.0,-4.2,-5.1,0.0
5.58,0.6200000000000001,9.56,0.21100000000000002,2.267,0.02,0.05,-0.013999999999999999,-13.6,-2.6,-5.9,0.0
5.6,0.6399999999999997,9.53,0.299,2.191,0.02,0.035,-0.009000000000000001,-13.3,-2.6,-5.5,0.0
5.62,0.6600000000000001,9.541,0.231,2.309,0.006999999999999999,0.038,-0.004,-13.2,-4.7,-6.1,0.0
5.64,0.6799999999999997,9.625,0.213,2.26,0.012,0.046,0.005,-13.8,-3.2,-5.8,0.0
5.66,0.7000000000000002,9.531,0.32,2.2680000000000002,0.011000000000000001,0.045,0.004,-12.6,-3.6,-5.8,0.0
5.68,0.7199999999999998,9.539,0.364,2.379,0.004,0.05,0.001,-11.6,-3.8,-6.7,0.0
5.7,0.7400000000000002,9.527000000000001,0.257,2.235,0.005,0.052000000000000005,-0.0,-11.5,-4.1,-6.7,0.0
5.72,0.7599999999999998,9.533,0.275,2.302,0.002,0.053,-0.004,-11.1,-1.3,-5.9,0.0
5.74,0.7800000000000002,9.53,0.25,2.312,0.009000000000000001,0.055,0.001,-13.0,-4.1,-6.8,0.0
5.76,0.7999999999999998,9.52,0.198,2.285,0.009000000000000001,0.054000000000000006,0.002,-12.8,-3.0,-6.5,0.0
5.78,0.8200000000000003,9.527999999999999,0.285,2.247,0.003,0.057999999999999996,0.003,-12.2,-4.4,-5.0,0.0
5.8,0.8399999999999999,9.495,0.253,2.2769999999999997,0.006,0.057999999999999996,0.012,-13.1,-2.7,-6.5,0.0
5.82,0.8600000000000003,9.445,0.22899999999999998,2.245,0.004,0.057999999999999996,0.006999999999999999,-11.2,-3.4,-6.6,0.0
5.84,0.8799999999999999,9.481,0.314,2.299,-0.002,0.05,0.008,-11.9,-4.3,-5.8,0.0
5.86,0.9000000000000004,9.492,0.24,2.219,0.002,0.045,0.009000000000000001,-13.3,-2.6,-5.7,0.0
5.88,0.9199999999999999,9.521,0.21600000000000003,2.28,0.0,0.042,0.006999999999999999,-12.1,-3.1,-6.6,0.0
5.9,0.9400000000000004,9.539,0.28600000000000003,2.307,-0.004,0.032,0.001,-11.4,-2.6,-6.4,0.0
5.92,0.96,9.512,0.26899999999999996,2.4130000000000003,-0.01,0.047,0.003,-12.6,-4.9,-5.6,0.0
5.94,0.9800000000000004,9.537,0.239,2.451,-0.016,0.061,-0.001,-12.5,-2.0,-7.9,0.0
5.96,1.0,9.441,0.15,2.224,0.01,0.026000000000000002,0.002,-13.1,-3.2,-6.0,1.0
5.98,1.0200000000000005,9.437999999999999,0.196,2.314,-0.004,0.019,0.004,-12.9,-2.1,-5.9,1.0
6.0,1.04,9.562000000000001,0.163,2.498,-0.02,0.006,-0.001,-11.7,-1.4,-5.4,1.0
6.02,1.0599999999999996,9.591000000000001,0.14300000000000002,2.399,-0.027000000000000003,0.004,0.028999999999999998,-12.4,-2.5,-8.1,1.0
6.04,1.08,9.661,0.203,2.345,0.004,0.006999999999999999,0.021,-11.8,-2.5,-6.7,1.0
6.06,1.0999999999999996,9.312000000000001,0.252,2.404,0.016,-0.016,-0.001,-13.0,-3.7,-6.1,1.0
6.08,1.12,9.781,0.198,2.63,0.013000000000000001,-0.002,-0.021,-13.0,-3.5,-6.4,1.0
6.1,1.1399999999999997,9.434,0.155,2.7289999999999996,0.006,-0.001,-0.005,-12.0,-3.1,-6.6,1.0
6.12,1.1600000000000001,9.347999999999999,0.12300000000000001,2.614,0.008,-0.018000000000000002,-0.01,-12.8,-3.7,-6.9,1.0
6.14,1.1799999999999997,9.349,0.069,2.678,0.021,-0.033,-0.0,-12.4,-3.2,-7.1,1.0
6.16,1.2000000000000002,9.497,0.036000000000000004,2.721,-0.004,-0.034,0.004,-12.1,-2.3,-5.3,1.0
6.18,1.2199999999999998,9.579,-0.013000000000000001,2.7880000000000003,-0.019,-0.013999999999999999,0.011000000000000001,-11.5,-3.6,-6.3,1.0
6.2,1.2400000000000002,9.698,-0.121,2.818,0.0,0.008,0.004,-11.8,-2.1,-6.6,1.0
6.22,1.2599999999999998,9.558,-0.278,2.946,-0.009000000000000001,0.035,-0.001,-13.3,-3.4,-6.1,1.0
6.24,1.2800000000000002,9.379,-0.499,2.865,-0.005,0.027999999999999997,0.012,-11.6,-3.3,-5.3,1.0
6.26,1.2999999999999998,9.238,-0.575,2.8080000000000003,0.023,-0.0,0.017,-12.3,-3.5,-6.2,1.0
6.28,1.3200000000000003,9.052,-0.579,2.852,0.002,-0.023,0.055999999999999994,-11.8,-2.5,-6.4,1.0
6.3,1.3399999999999999,8.867,-0.455,2.528,-0.085,-0.05,0.07,-12.5,-3.3,-6.6,1.0
6.32,1.3600000000000003,8.88,-0.47100000000000003,2.481,-0.128,-0.036000000000000004,0.062,-12.7,-2.7,-6.4,1.0
6.34,1.38,8.86,-0.525,2.4459999999999997,-0.11199999999999999,-0.066,0.046,-11.8,-2.3,-4.9,1.0
6.36,1.4000000000000004,8.76,-0.185,2.798,-0.113,-0.133,0.037000000000000005,-11.3,-3.2,-6.7,1.0
6.38,1.42,8.66,-0.268,2.8310000000000004,-0.14800000000000002,-0.16,-0.003,-11.6,-4.5,-4.6,1.0
6.4,1.4400000000000004,8.402999999999999,-0.002,3.082,-0.223,-0.16399999999999998,-0.009000000000000001,-12.5,-3.1,-5.0,1.0
6.42,1.46,8.026,0.556,3.216,-0.27399999999999997,-0.201,-0.054000000000000006,-11.6,-4.5,-5.6,1.0
6.44,1.4800000000000004,8.267999999999999,1.127,2.929,-0.187,-0.245,-0.131,-12.8,-4.2,-4.3,1.0
6.46,1.5,9.714,1.391,2.759,-0.1,-0.27,-0.254,-12.6,-3.0,-4.0,1.0
6.48,1.5200000000000005,11.253,1.462,3.051,-0.064,-0.278,-0.29100000000000004,-12.0,-4.1,-4.5,1.0
6.5,1.54,11.158,1.053,3.238,-0.086,-0.265,-0.29100000000000004,-12.3,-3.6,-2.9,1.0
6.52,1.5599999999999996,11.317,0.7959999999999999,3.327,-0.141,-0.23800000000000002,-0.266,-12.2,-3.9,-2.9,1.0
6.54,1.58,11.0,0.851,3.694,-0.2,-0.163,-0.179,-13.0,-4.9,-5.4,1.0
6.56,1.5999999999999996,10.125,0.643,3.819,-0.23600000000000002,-0.115,-0.10400000000000001,-12.0,-3.8,-4.1,1.0
6.58,1.62,9.166,0.537,3.676,-0.298,-0.08800000000000001,-0.053,-13.2,-4.4,-4.1,1.0
6.6,1.6399999999999997,8.048,0.401,3.215,-0.34299999999999997,-0.131,-0.001,-13.3,-4.6,-4.2,1.0
6.62,1.6600000000000001,7.5120000000000005,0.46799999999999997,3.201,-0.36200000000000004,-0.18,0.009000000000000001,-13.0,-5.8,-1.4,1.0
