time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
4.6,0.0,9.516,0.23399999999999999,1.58,0.025,0.008,0.001,-27.0,-33.7,22.5,0.0
4.62,0.020000000000000462,9.541,0.242,1.5619999999999998,-0.063,0.026000000000000002,0.009000000000000001,-26.1,-34.5,22.8,0.0
4.64,0.040000000000000036,9.611,0.18899999999999997,1.58,-0.044000000000000004,0.024,0.015,-27.1,-35.1,22.1,0.0
4.66,0.0600000000000005,9.513,0.21,1.5319999999999998,-0.046,0.019,0.017,-26.5,-34.1,23.1,0.0
4.68,0.08000000000000007,9.564,0.177,1.56,-0.02,0.013999999999999999,0.011000000000000001,-25.8,-34.0,22.5,0.0
4.7,0.10000000000000053,9.56,0.228,1.63,-0.028999999999999998,0.015,-0.002,-25.7,-34.3,22.2,0.0
4.72,0.1200000000000001,9.519,0.207,1.626,-0.026000000000000002,0.005,0.006,-26.3,-34.4,22.5,0.0
4.74,0.14000000000000057,9.575,0.254,1.604,-0.028999999999999998,0.009000000000000001,0.009000000000000001,-26.2,-34.3,21.2,0.0
4.76,0.16000000000000014,9.596,0.212,1.649,-0.013000000000000001,0.016,0.013999999999999999,-26.7,-33.6,22.6,0.0
4.78,0.1800000000000006,9.607000000000001,0.28,1.609,0.0,0.008,0.018000000000000002,-26.8,-34.3,20.7,0.0
4.8,0.20000000000000018,9.607999999999999,0.131,1.588,-0.003,0.011000000000000001,0.006999999999999999,-25.8,-33.8,22.0,0.0
4.82,0.22000000000000064,9.562999999999999,0.235,1.587,0.0,0.021,0.003,-25.5,-33.9,22.2,0.0
4.84,0.2400000000000002,9.516,0.187,1.571,-0.017,0.025,0.005,-26.1,-35.3,21.5,0.0
4.86,0.2600000000000007,9.552999999999999,0.275,1.591,-0.021,0.022000000000000002,0.009000000000000001,-24.7,-34.4,22.3,0.0
4.88,0.28000000000000025,9.595,0.264,1.607,-0.025,0.027999999999999997,0.017,-26.1,-35.4,21.8,0.0
4.9,0.3000000000000007,9.57,0.20800000000000002,1.5659999999999998,-0.036000000000000004,0.019,0.013000000000000001,-25.7,-35.4,20.9,0.0
4.92,0.3200000000000003,9.548,0.249,1.57,0.002,0.013999999999999999,0.006999999999999999,-26.5,-35.1,22.1,0.0
4.94,0.34000000000000075,9.566,0.239,1.5519999999999998,-0.011000000000000001,0.017,0.003,-26.8,-34.2,21.2,0.0
4.96,0.3600000000000003,9.582,0.255,1.561,-0.047,0.021,0.006,-26.4,-33.5,21.7,0.0
4.98,0.3800000000000008,9.652999999999999,0.289,1.579,-0.033,0.026000000000000002,0.005,-27.2,-33.9,22.9,0.0
5.0,0.40000000000000036,9.524,0.243,1.6340000000000001,-0.075,0.028999999999999998,0.01,-26.5,-34.1,22.4,0.0
5.02,0.41999999999999993,9.581,0.193,1.676,-0.044000000000000004,0.032,-0.003,-27.7,-33.9,21.7,0.0
5.04,0.4400000000000004,9.574,0.21600000000000003,1.618,-0.027999999999999997,0.026000000000000002,-0.001,-25.9,-34.4,21.7,0.0
5.06,0.45999999999999996,9.577,0.314,1.526,-0.087,0.033,0.005,-27.1,-35.4,22.7,0.0
5.08,0.4800000000000004,9.498,0.192,1.609,-0.07,0.028999999999999998,0.009000000000000001,-25.4,-33.2,21.5,0.0
5.1,0.5,9.583,0.179,1.524,-0.069,0.031,0.009000000000000001,-27.3,-35.5,20.9,0.0
5.12,0.5200000000000005,9.61,0.237,1.6469999999999998,-0.033,0.040999999999999995,-0.003,-26.1,-34.8,21.7,0.0
5.14,0.54,9.591000000000001,0.161,1.62,-0.033,0.017,-0.006,-26.7,-35.0,22.6,0.0
5.16,0.5600000000000005,9.477,0.201,1.6469999999999998,-0.031,0.0,0.0,-25.9,-34.7,21.9,0.0
5.18,0.5800000000000001,9.562999999999999,0.304,1.5219999999999998,-0.024,-0.006,0.009000000000000001,-27.6,-34.7,21.6,0.0
5.2,0.6000000000000005,9.544,0.248,1.574,-0.036000000000000004,0.009000000000000001,0.013999999999999999,-25.8,-34.8,22.0,0.0
5.22,0.6200000000000001,9.646,0.20800000000000002,1.561,-0.047,0.023,0.018000000000000002,-26.2,-35.5,22.2,0.0
5.24,0.6400000000000006,9.497,0.221,1.59,-0.053,0.027000000000000003,0.009000000000000001,-26.2,-33.9,21.6,0.0
5.26,0.6600000000000001,9.532,0.218,1.5859999999999999,-0.046,0.026000000000000002,0.006,-26.4,-33.5,22.4,0.0
5.28,0.6800000000000006,9.498,0.263,1.551,-0.036000000000000004,0.021,0.0,-25.4,-35.6,22.0,0.0
5.3,0.7000000000000002,9.523,0.231,1.6030000000000002,-0.040999999999999995,0.043,-0.004,-25.9,-34.6,22.7,0.0
5.32,0.7200000000000006,9.544,0.17300000000000001,1.614,-0.046,0.048,-0.004,-26.9,-34.2,22.2,0.0
5.34,0.7400000000000002,9.525,0.27399999999999997,1.6540000000000001,-0.051,0.043,-0.005,-26.5,-35.2,22.1,0.0
