time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
33.96,0.0,2.539,9.323,1.112,0.061,-0.32799999999999996,-0.024,-9.6,-41.0,44.4,0.0
33.98,0.01999999999999602,2.623,9.481,1.3430000000000002,0.017,-0.171,0.013000000000000001,-9.8,-40.6,44.7,0.0
34.0,0.03999999999999915,2.6239999999999997,9.436,1.195,-0.039,0.047,0.0,-8.4,-40.8,45.0,0.0
34.02,0.060000000000002274,2.406,9.407,1.4769999999999999,-0.091,0.11699999999999999,0.024,-9.3,-40.9,44.0,0.0
34.04,0.0799999999999983,2.158,9.398,1.578,-0.154,0.14400000000000002,-0.016,-10.1,-39.8,44.1,0.0
34.06,0.10000000000000142,2.406,9.357000000000001,1.7480000000000002,-0.23800000000000002,0.017,0.002,-9.7,-40.4,44.0,0.0
34.08,0.11999999999999744,2.542,9.273,0.9740000000000001,-0.284,0.07400000000000001,0.024,-8.6,-41.7,45.0,0.0
34.1,0.14000000000000057,2.721,9.3,0.6559999999999999,-0.251,0.163,0.027000000000000003,-9.8,-41.8,43.0,0.0
34.12,0.1599999999999966,2.374,9.236,0.755,-0.175,0.282,0.023,-10.5,-41.5,44.7,0.0
34.14,0.17999999999999972,2.241,9.32,0.9259999999999999,-0.057999999999999996,0.08,0.045,-11.1,-41.3,44.8,0.0
34.16,0.19999999999999574,2.273,9.169,1.117,-0.031,0.001,0.033,-9.8,-40.0,44.0,0.0
34.18,0.21999999999999886,2.064,9.242,1.5130000000000001,-0.019,-0.107,0.022000000000000002,-10.3,-40.3,43.8,0.0
34.2,0.240000000000002,2.543,9.248,1.161,0.08199999999999999,-0.23199999999999998,0.017,-10.1,-41.3,43.6,0.0
34.22,0.259999999999998,2.6039999999999996,9.218,0.725,0.28800000000000003,-0.138,-0.013000000000000001,-9.2,-39.7,44.6,0.0
34.24,0.28000000000000114,2.539,9.341000000000001,0.797,0.252,0.03,-0.0,-8.9,-40.8,44.4,0.0
34.26,0.29999999999999716,1.9709999999999999,9.389,1.794,0.19399999999999998,0.013000000000000001,-0.015,-11.0,-39.6,44.6,0.0
34.28,0.3200000000000003,1.979,9.382,1.6540000000000001,0.125,-0.25,0.01,-9.2,-40.4,43.4,0.0
34.3,0.3399999999999963,2.696,9.472999999999999,1.172,0.092,-0.254,0.021,-9.7,-40.5,45.0,0.0
34.32,0.35999999999999943,2.6430000000000002,9.342,1.348,0.040999999999999995,-0.06,0.016,-9.8,-40.9,44.9,0.0
34.34,0.38000000000000256,2.094,9.402999999999999,1.47,0.008,0.01,-0.005,-9.4,-41.4,45.1,0.0
34.36,0.3999999999999986,2.2969999999999997,9.496,1.412,-0.002,-0.092,0.006,-9.1,-41.0,45.3,0.0
34.38,0.4200000000000017,2.4090000000000003,9.288,1.3730000000000002,-0.084,0.095,-0.009000000000000001,-10.6,-40.0,45.2,0.0
34.4,0.4399999999999977,2.21,9.486,1.636,-0.157,0.068,-0.002,-11.4,-39.9,43.5,0.0
34.42,0.46000000000000085,2.605,9.287,1.248,-0.223,0.047,-0.006,-9.3,-39.8,43.8,0.0
34.44,0.4799999999999969,2.44,9.325,1.2570000000000001,-0.204,0.16,-0.048,-11.5,-40.5,44.5,0.0
34.46,0.5,2.437,9.204,0.9620000000000001,-0.152,0.102,-0.028999999999999998,-10.0,-40.6,44.7,0.0
34.48,0.519999999999996,2.344,9.191,0.946,-0.10099999999999999,0.152,-0.03,-9.9,-40.3,43.6,0.0
34.5,0.5399999999999991,2.219,9.277000000000001,0.9420000000000001,0.024,0.032,-0.033,-9.4,-39.1,44.6,0.0
34.52,0.5600000000000023,2.506,9.374,1.183,0.149,-0.08199999999999999,-0.027000000000000003,-10.4,-40.4,44.6,0.0
34.54,0.5799999999999983,2.54,9.308,0.9890000000000001,0.222,-0.11599999999999999,-0.046,-10.3,-40.8,44.5,0.0
34.56,0.6000000000000014,2.551,9.342,0.965,0.19899999999999998,-0.066,-0.055,-9.0,-39.5,45.3,0.0
34.58,0.6199999999999974,2.14,9.408999999999999,1.675,0.134,-0.16399999999999998,0.022000000000000002,-8.8,-40.6,44.3,0.0
34.6,0.6400000000000006,2.8689999999999998,9.395,1.002,0.096,-0.33299999999999996,0.079,-9.7,-40.9,45.1,0.0
