time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
3.66,0.0,9.037,0.312,3.678,-0.023,0.018000000000000002,0.013999999999999999,-22.1,-32.8,13.7,0.0
3.68,0.020000000000000018,9.088,0.242,3.6210000000000004,-0.026000000000000002,0.02,0.003,-22.7,-32.5,14.2,0.0
3.7,0.040000000000000036,9.014,0.318,3.733,-0.017,0.011000000000000001,0.013000000000000001,-22.7,-34.3,15.4,0.0
3.72,0.06000000000000005,9.035,0.247,3.662,-0.023,0.017,0.015,-23.4,-33.5,14.3,0.0
3.74,0.08000000000000007,9.035,0.26899999999999996,3.719,-0.022000000000000002,0.02,0.017,-22.2,-34.8,13.4,0.0
3.76,0.09999999999999964,8.958,0.309,3.696,-0.025,0.006999999999999999,0.016,-22.9,-32.9,14.6,0.0
3.78,0.11999999999999966,8.942,0.284,3.673,-0.033,0.012,0.016,-22.5,-33.0,14.9,0.0
3.8,0.13999999999999968,8.922,0.284,3.685,-0.037000000000000005,0.011000000000000001,0.006999999999999999,-23.0,-33.8,15.0,0.0
3.82,0.1599999999999997,8.95,0.27899999999999997,3.6839999999999997,-0.034,0.015,0.009000000000000001,-22.2,-33.8,13.4,0.0
3.84,0.17999999999999972,8.976,0.28800000000000003,3.742,-0.036000000000000004,0.017,0.001,-23.0,-33.6,14.8,0.0
3.86,0.19999999999999973,9.051,0.301,3.7,-0.023,0.013000000000000001,0.006,-22.3,-33.1,14.4,0.0
3.88,0.21999999999999975,9.001,0.235,3.6489999999999996,-0.031,0.012,0.006,-22.8,-33.8,13.2,0.0
3.9,0.23999999999999977,9.045,0.294,3.7030000000000003,-0.025,0.021,0.006,-22.5,-33.4,14.0,0.0
3.92,0.2599999999999998,9.01,0.32899999999999996,3.634,-0.021,0.006999999999999999,-0.002,-22.4,-32.7,13.4,0.0
3.94,0.2799999999999998,8.997,0.276,3.759,-0.019,0.021,0.005,-22.3,-34.8,14.4,0.0
3.96,0.2999999999999998,8.975,0.261,3.68,-0.016,0.019,0.006999999999999999,-22.7,-33.5,14.2,0.0
3.98,0.31999999999999984,9.037,0.307,3.72,-0.013999999999999999,0.016,0.006999999999999999,-22.9,-33.0,14.8,0.0
4.0,0.33999999999999986,8.982999999999999,0.247,3.6630000000000003,-0.013000000000000001,0.012,0.011000000000000001,-21.4,-32.9,14.6,0.0
4.02,0.35999999999999943,8.993,0.284,3.6839999999999997,0.003,0.015,0.013999999999999999,-22.2,-34.1,14.3,0.0
