time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
13.68,0.0,8.613999999999999,0.39299999999999996,4.7139999999999995,-0.011000000000000001,0.025,-0.006,-7.4,-6.0,-4.5,8.132,4.553,13.979000000000001,0.0
13.7,0.019999999999999574,8.622,0.43,4.8,-0.018000000000000002,0.022000000000000002,-0.005,-8.8,-4.7,-4.8,8.611,3.095,13.366,0.0
13.72,0.040000000000000924,8.624,0.396,4.7139999999999995,-0.02,0.027000000000000003,-0.005,-8.2,-5.6,-3.5,10.046,4.047,15.489,0.0
13.74,0.0600000000000005,8.6,0.34299999999999997,4.676,-0.021,0.027999999999999997,-0.009000000000000001,-7.4,-3.9,-5.1,10.822000000000001,4.8660000000000005,11.398,0.0
13.76,0.08000000000000007,8.668,0.39,4.7139999999999995,-0.013000000000000001,0.028999999999999998,-0.006999999999999999,-7.2,-4.0,-4.9,9.029,4.0360000000000005,11.345999999999998,0.0
13.78,0.09999999999999964,8.584,0.40399999999999997,4.723,-0.017,0.031,-0.011000000000000001,-7.8,-4.0,-4.7,11.207,3.282,13.87,0.0
13.8,0.120000000000001,8.642000000000001,0.429,4.76,-0.015,0.027000000000000003,-0.015,-7.4,-5.4,-4.2,6.917999999999999,3.15,14.292,0.0
13.82,0.14000000000000057,8.564,0.461,4.746,-0.006,0.022000000000000002,-0.003,-9.6,-5.2,-4.5,10.097000000000001,3.787,11.196,0.0
13.84,0.16000000000000014,8.549,0.41,4.708,-0.011000000000000001,0.022000000000000002,-0.011000000000000001,-7.6,-4.7,-4.6,8.567,3.102,12.061,0.0
13.86,0.17999999999999972,8.605,0.445,4.813,-0.012,0.024,-0.017,-8.6,-5.1,-4.5,9.637,3.201,12.767999999999999,0.0
13.88,0.20000000000000107,8.6,0.44799999999999995,4.768,-0.01,0.004,-0.011000000000000001,-9.4,-4.0,-4.0,11.154000000000002,4.282,13.243,0.0
13.9,0.22000000000000064,8.615,0.449,4.762,-0.011000000000000001,0.011000000000000001,-0.016,-9.2,-6.7,-5.2,9.697000000000001,3.6210000000000004,14.196,0.0
13.92,0.2400000000000002,8.655,0.469,4.742,-0.013999999999999999,0.013999999999999999,-0.013000000000000001,-7.8,-4.0,-4.5,9.887,3.991,13.875,0.0
13.94,0.2599999999999998,8.576,0.36700000000000005,4.793,-0.013999999999999999,0.012,-0.016,-8.6,-4.2,-4.1,9.567,3.358,13.565999999999999,0.0
13.96,0.28000000000000114,8.628,0.42,4.79,-0.012,0.003,-0.006,-8.1,-5.1,-4.4,8.923,3.9530000000000003,12.105,0.0
13.98,0.3000000000000007,8.618,0.33799999999999997,4.705,0.001,0.013000000000000001,-0.011000000000000001,-8.1,-6.0,-4.4,9.089,3.657,11.172,0.0
14.0,0.3200000000000003,8.607000000000001,0.444,4.782,-0.003,0.019,-0.009000000000000001,-7.3,-5.4,-5.1,10.308,3.002,12.349,0.0
14.02,0.33999999999999986,8.634,0.45399999999999996,4.712,-0.002,0.016,-0.011000000000000001,-7.9,-4.8,-5.3,10.347000000000001,4.288,13.324000000000002,0.0
14.04,0.35999999999999943,8.566,0.452,4.749,0.002,0.023,-0.011000000000000001,-7.6,-4.4,-4.7,10.937999999999999,4.836,11.970999999999998,0.0
14.06,0.3800000000000008,8.578,0.408,4.751,0.005,0.022000000000000002,-0.018000000000000002,-7.5,-5.4,-4.0,9.677,3.533,11.925,0.0
14.08,0.40000000000000036,8.632,0.45299999999999996,4.74,-0.005,0.023,-0.01,-7.9,-4.5,-4.7,10.915999999999999,3.537,12.728,0.0
14.1,0.41999999999999993,8.692,0.413,4.666,0.001,0.032,-0.01,-8.3,-4.9,-5.0,10.332,4.973,12.44,0.0
14.12,0.4399999999999995,8.652999999999999,0.377,4.71,-0.004,0.026000000000000002,-0.019,-7.3,-4.2,-4.8,9.285,2.978,12.546,0.0
14.14,0.46000000000000085,8.658,0.43799999999999994,4.721,0.002,0.039,-0.006,-8.4,-5.5,-5.2,10.165,4.106,13.953,0.0
14.16,0.4800000000000004,8.572000000000001,0.455,4.735,-0.003,0.043,-0.016,-8.8,-5.1,-4.8,9.698,4.508,13.888,0.0
14.18,0.5,8.64,0.40700000000000003,4.669,-0.006,0.032,-0.012,-8.6,-4.0,-5.2,10.796,3.6860000000000004,11.622,0.0
14.2,0.5199999999999996,8.586,0.415,4.736000000000001,0.002,0.035,-0.01,-9.1,-4.6,-4.1,10.945,6.125,11.155,0.0
14.22,0.5400000000000009,8.557,0.41700000000000004,4.683,-0.002,0.033,-0.004,-7.9,-5.3,-4.7,9.669,3.3489999999999998,12.915999999999999,0.0
14.24,0.5600000000000005,8.632,0.43700000000000006,4.763999999999999,-0.002,0.033,-0.005,-9.8,-5.5,-4.5,9.35,4.697,13.915999999999999,0.0
14.26,0.5800000000000001,8.623,0.511,4.752,-0.002,0.04,-0.012,-7.1,-5.0,-6.1,9.974,4.4910000000000005,13.024000000000001,0.0
14.28,0.5999999999999996,8.619,0.41700000000000004,4.6739999999999995,-0.003,0.038,-0.013000000000000001,-7.4,-5.6,-4.9,10.213,4.784,12.127,0.0
14.3,0.620000000000001,8.649,0.40700000000000003,4.712,0.004,0.037000000000000005,-0.012,-8.9,-4.7,-5.7,9.34,3.3710000000000004,14.284,0.0
14.32,0.6400000000000006,8.625,0.47,4.77,0.0,0.038,-0.006,-8.2,-3.6,-4.7,10.029,5.013999999999999,12.703,0.0
14.34,0.6600000000000001,8.647,0.46799999999999997,4.6930000000000005,-0.001,0.035,-0.004,-7.6,-5.0,-4.0,9.357999999999999,2.8819999999999997,11.970999999999998,0.0
