time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
3.96,0.019999999999999574,8.113999999999999,0.778,5.607,0.005,0.04,0.005,-10.1,-6.0,-9.9,9.372,4.5680000000000005,12.633,0.0
3.98,0.03999999999999959,8.014,0.772,5.5920000000000005,-0.011000000000000001,0.026000000000000002,0.006999999999999999,-10.2,-6.0,-10.9,8.714,4.408,12.062000000000001,0.0
4.0,0.05999999999999961,8.073,0.6629999999999999,5.598,0.001,0.025,0.004,-9.8,-5.8,-9.8,9.0,2.204,13.014000000000001,0.0
4.02,0.07999999999999918,8.111,0.687,5.5729999999999995,0.001,0.03,-0.002,-9.7,-7.2,-10.4,8.895,4.018,14.067,0.0
4.04,0.09999999999999964,8.083,0.768,5.574,0.008,0.037000000000000005,0.003,-10.1,-5.0,-9.9,9.668,3.3369999999999997,12.527000000000001,0.0
4.06,0.11999999999999922,8.081,0.765,5.544,0.006,0.047,0.001,-10.2,-8.3,-10.3,9.07,4.099,12.522,0.0
4.08,0.13999999999999968,8.113999999999999,0.6609999999999999,5.582000000000001,-0.002,0.051,-0.006999999999999999,-10.2,-5.3,-10.5,8.93,4.731,16.212,0.0
4.1,0.15999999999999925,8.131,0.725,5.593,-0.003,0.059000000000000004,-0.012,-9.7,-5.9,-10.8,10.634,4.933,15.159,0.0
4.12,0.17999999999999972,8.107000000000001,0.79,5.659,-0.004,0.057,-0.017,-10.6,-4.8,-10.1,9.202,4.827,13.325,0.0
4.14,0.1999999999999993,8.029,0.7020000000000001,5.584,-0.006999999999999999,0.061,-0.02,-9.2,-6.1,-10.9,8.972999999999999,3.102,13.742,0.0
4.16,0.21999999999999975,8.007,0.742,5.728,-0.006,0.055999999999999994,-0.019,-9.9,-5.5,-10.3,9.269,4.843999999999999,13.274000000000001,0.0
4.18,0.23999999999999932,7.957999999999999,0.667,5.558,-0.006,0.057,-0.021,-10.4,-6.2,-10.9,9.267000000000001,6.285,14.774000000000001,0.0
4.2,0.2599999999999998,8.015,0.7140000000000001,5.6610000000000005,-0.009000000000000001,0.054000000000000006,-0.012,-11.7,-5.7,-10.0,8.258,4.6819999999999995,13.042,0.0
4.22,0.27999999999999936,8.033999999999999,0.6920000000000001,5.619,-0.012,0.052000000000000005,-0.013000000000000001,-9.6,-5.4,-10.6,8.611,3.431,12.834000000000001,0.0
4.24,0.2999999999999998,7.978,0.7170000000000001,5.627000000000001,-0.009000000000000001,0.051,-0.012,-9.6,-5.3,-10.6,8.916,4.52,14.698,0.0
4.26,0.3199999999999994,8.029,0.759,5.627000000000001,-0.003,0.046,-0.016,-10.8,-6.2,-11.0,8.647,5.569,13.222999999999999,0.0
4.28,0.33999999999999986,8.007,0.7829999999999999,5.641,-0.004,0.045,-0.011000000000000001,-10.7,-5.3,-9.7,8.334,5.4,13.565,0.0
4.3,0.35999999999999943,7.972,0.741,5.66,-0.008,0.046,-0.019,-10.7,-5.7,-10.1,8.611,3.6860000000000004,12.970999999999998,0.0
4.32,0.3799999999999999,8.017000000000001,0.7609999999999999,5.646,-0.012,0.049,-0.013999999999999999,-9.2,-5.4,-11.5,10.023,4.906000000000001,13.561,0.0
4.34,0.39999999999999947,8.074,0.794,5.622000000000001,-0.013000000000000001,0.051,-0.012,-9.9,-6.2,-10.0,9.532,4.252,16.046,0.0
4.36,0.41999999999999993,7.999,0.727,5.667000000000001,-0.012,0.045,-0.015,-10.6,-5.8,-10.1,9.43,5.754,14.679,0.0
4.38,0.4399999999999995,7.984,0.74,5.702999999999999,-0.013000000000000001,0.049,-0.013000000000000001,-10.9,-6.7,-10.6,8.619,2.4,14.845999999999998,0.0
4.4,0.45999999999999996,8.017000000000001,0.747,5.74,-0.013999999999999999,0.044000000000000004,-0.009000000000000001,-10.2,-7.4,-10.0,8.761000000000001,2.717,13.712,0.0
4.42,0.47999999999999954,8.024,0.713,5.711,-0.012,0.046,-0.016,-10.8,-7.0,-9.2,7.332000000000001,4.94,14.511,0.0
4.44,0.5,8.042,0.723,5.688,-0.013999999999999999,0.043,-0.01,-10.0,-5.6,-10.3,9.258,2.5610000000000004,13.074000000000002,0.0
4.46,0.5199999999999996,7.982,0.797,5.695,-0.016,0.043,-0.009000000000000001,-10.4,-6.1,-10.0,9.256,4.928999999999999,13.873,0.0
4.48,0.54,7.994,0.774,5.692,-0.013000000000000001,0.045,-0.011000000000000001,-10.3,-5.9,-11.2,8.78,4.321000000000001,12.915999999999999,0.0
4.5,0.5599999999999996,8.01,0.7440000000000001,5.688,-0.013999999999999999,0.044000000000000004,-0.013000000000000001,-9.2,-6.9,-10.8,11.023,6.565,12.57,0.0
4.52,0.5799999999999992,7.962000000000001,0.736,5.681,-0.017,0.042,-0.009000000000000001,-9.8,-5.8,-10.2,10.247,5.312,14.325999999999999,0.0
4.54,0.5999999999999996,7.978,0.7929999999999999,5.7410000000000005,-0.003,0.045,-0.009000000000000001,-10.4,-7.8,-10.4,8.461,3.1689999999999996,15.158,0.0
4.56,0.6199999999999992,7.977,0.8170000000000001,5.736000000000001,-0.01,0.04,-0.01,-11.5,-6.5,-10.1,9.783999999999999,4.0089999999999995,14.83,0.0
4.58,0.6399999999999997,7.978,0.782,5.745,-0.017,0.042,-0.009000000000000001,-10.2,-7.6,-12.1,10.192,5.672000000000001,14.312000000000001,0.0
4.6,0.6599999999999993,7.897,0.785,5.7410000000000005,-0.013999999999999999,0.045,-0.011000000000000001,-9.3,-5.8,-10.8,8.712,5.4510000000000005,13.350999999999999,0.0
4.62,0.6799999999999997,8.033,0.728,5.7170000000000005,-0.013999999999999999,0.040999999999999995,-0.006999999999999999,-10.7,-5.7,-11.1,8.897,4.592,14.254000000000001,0.0
4.64,0.6999999999999993,8.006,0.726,5.722,-0.015,0.043,-0.001,-9.8,-6.6,-9.8,9.036,4.482,14.085999999999999,0.0
4.66,0.7199999999999998,8.025,0.6709999999999999,5.622000000000001,-0.006,0.048,-0.001,-11.4,-5.5,-9.7,8.891,2.696,11.085,0.0
4.68,0.7399999999999993,7.9270000000000005,0.7290000000000001,5.721,-0.012,0.05,-0.003,-10.0,-6.3,-11.8,9.907,3.903,15.169,0.0
4.7,0.7599999999999998,7.995,0.73,5.8020000000000005,-0.016,0.048,-0.006,-10.0,-5.6,-11.1,7.858,2.2569999999999997,13.599,0.0
