time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
7.94,8.88E-16,2.162,9.183,2.864,0.011,0.013,-0.009,31.1,-54.8,32.3,0
7.96,0.02,2.16,9.093,2.744,0.006,0.011,-0.002,29.9,-55,34.1,0
7.98,0.04,2.173,9.068,2.777,0.004,0.008,-0.001,30.5,-55.3,32.7,0
8,0.06,2.202,9.125,2.79,-0.002,0.003,0,29.5,-55.8,33.1,0
8.02,0.08,2.197,9.134,2.777,-0.002,0.008,-0.004,29.9,-54.4,33.3,0
8.04,0.1,2.212,9.075,2.771,-0.001,0.007,-0.001,30.3,-55.6,33.4,0
8.06,0.12,2.162,9.088,2.775,-0.005,-0.006,0.002,29.9,-55.8,32.5,0
8.08,0.14,2.123,9.123,2.749,-0.005,-0.001,0.009,29.9,-54.5,33.4,0
8.1,0.16,2.185,9.153,2.744,-0.006,-0.003,0.006,30.4,-55.3,33.6,0
8.12,0.18,2.094,9.072,2.778,-0.008,-0.001,0.012,30.2,-55.2,34,0
8.14,0.2,2.184,9.059,2.709,-0.01,-0.007,0.01,30.5,-53.5,33.6,0
8.16,0.22,2.039,9.111,2.752,-0.007,-0.007,0.006,30.2,-54.8,33.3,0
8.18,0.24,2.086,9.08,2.709,-0.007,-0.014,0,30.8,-54.3,33,0
8.2,0.26,2.135,9.07,2.69,-0.004,-0.006,-0.005,29.6,-55.5,32.8,0
8.22,0.28,2.042,9.089,2.688,0,-0.004,-0.005,31.1,-55.2,33.3,0
8.24,0.3,2.05,9.106,2.69,-0.007,-0.007,-0.005,29.9,-55.4,32.4,0
8.26,0.32,2.068,9.003,2.706,0.003,-0.011,-0.007,30.3,-54.4,32,0
8.28,0.34,2.099,9.105,2.675,0.01,-0.002,-0.012,29.3,-54.1,33.2,0
8.3,0.36,2.108,9.271,2.709,0.016,-0.019,-0.027,29.5,-54.3,32.3,0
8.32,0.38,2.101,9.506,2.78,0.029,-0.033,-0.036,30.1,-54.3,33,0
8.34,0.4,2.151,9.409,2.809,0.038,-0.049,-0.047,31.2,-54.5,33.3,0
8.36,0.42,2.024,9.111,2.797,0.043,-0.049,-0.026,30.6,-54.2,32.7,0
8.38,0.44,1.872,8.61,2.677,0.05,-0.076,-0.015,29.8,-54.1,31.9,0
8.4,0.46,1.715,8.722,2.645,0.052,-0.085,-0.021,30.3,-54.6,32.5,0
8.42,0.48,1.782,8.716,2.691,0.05,-0.062,-0.042,30.5,-54.5,32.7,0
8.44,0.5,1.676,8.812,2.686,0.061,-0.036,-0.071,30.4,-54.6,32.7,0
8.46,0.52,1.548,8.948,2.825,0.056,-0.053,-0.103,29.8,-55.4,33.3,0
8.48,0.54,1.621,9.066,2.826,0.041,-0.094,-0.135,29,-53.5,33,0
8.5,0.56,1.67,9.146,2.803,0.043,-0.086,-0.151,29.8,-54.4,33.9,0
8.52,0.58,1.749,9.295,2.866,0.05,-0.064,-0.168,31,-55.1,33.4,0
8.54,0.6,1.796,9.363,3.073,0.038,-0.093,-0.19,30.5,-54,33.9,0
8.56,0.62,1.867,9.328,3.056,0.053,-0.079,-0.191,31.8,-54.5,33.2,0
8.58,0.64,1.89,9.374,3.138,0.055,-0.065,-0.211,30.4,-54.2,33.8,0
8.6,0.66,1.789,9.037,3.294,0.055,-0.066,-0.2,30.9,-54.2,33.9,0
8.62,0.68,1.698,8.864,3.309,0.06,-0.105,-0.194,32,-54.7,34,0
8.64,0.7,1.706,8.836,3.242,0.064,-0.137,-0.204,29.9,-54.3,34.3,0
8.66,0.72,1.726,8.848,3.396,0.06,-0.143,-0.199,31.1,-55.9,33.6,0
8.68,0.74,1.71,8.942,3.401,0.068,-0.152,-0.201,33,-55.2,34.1,0
8.7,0.76,1.729,8.94,3.405,0.083,-0.159,-0.185,31.7,-54.8,33.7,0
8.72,0.78,1.806,8.944,3.39,0.08,-0.161,-0.162,31.6,-54.4,34.1,0
8.74,0.8,1.811,8.839,3.484,0.093,-0.144,-0.143,32.5,-54.1,34.5,0
8.76,0.82,1.858,8.714,3.399,0.098,-0.143,-0.122,32.6,-53.6,34.1,0
8.78,0.84,1.997,8.638,3.292,0.104,-0.141,-0.108,30.9,-54.9,33.7,0
8.8,0.86,2.165,8.544,3.221,0.117,-0.128,-0.084,31.9,-54.7,33.1,0
8.82,0.88,2.375,8.349,3.143,0.128,-0.144,-0.05,32.7,-54.3,32.9,0
8.84,0.9,2.484,7.827,2.888,0.142,-0.21,0.002,32.6,-55.7,35,0
8.86,0.92,2.86,7.246,2.676,0.16,-0.281,0.104,31.6,-55,34.4,0
8.88,0.94,3.345,7.429,2.014,0.193,-0.211,0.204,31.6,-54.4,34.2,0
8.9,0.96,4.369,8.747,1.693,0.227,0.044,0.153,32.1,-53.6,34.6,0
8.92,0.98,4.551,10.077,2.379,0.266,0.505,0.028,31.8,-54.2,33.8,0
8.94,1,4.246,10.361,2.83,0.263,0.698,-0.031,32.5,-53.8,35.1,1
8.96,1.02,3.809,9.843,2.727,0.282,0.656,-0.002,32.2,-53.7,35.8,1
8.98,1.04,4.106,9.703,2.58,0.279,0.52,0.046,30.6,-54.9,34.7,1
9,1.06,4.135,9.881,2.916,0.261,0.41,0.092,30.8,-53.8,35.2,1
