time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,highg_ax_m/s/s,highg_ay_m/s/s,highg_az_m/s/s,condition
7.6,0.0,1.456,-9.507,3.002,-0.011000000000000001,0.04,0.011000000000000001,-52.9,48.5,19.8,-1.5630000000000002,-6.252000000000001,-0.35,0.0
7.62,0.020000000000000462,1.419,-9.532,2.957,-0.001,0.031,0.0,-54.3,49.5,19.5,-1.9709999999999999,-7.654,1.3769999999999998,0.0
7.64,0.040000000000000036,1.421,-9.467,3.022,0.016,0.03,-0.0,-53.3,49.9,19.7,-2.772,-7.176,-1.188,0.0
7.66,0.0600000000000005,1.4169999999999998,-9.562999999999999,3.023,0.024,0.018000000000000002,0.012,-51.6,48.1,20.5,-0.898,-6.278,-0.299,0.0
7.68,0.08000000000000007,1.369,-9.492,2.935,0.032,0.001,0.008,-52.4,48.2,19.8,-1.656,-10.708,0.0,0.0
7.7,0.10000000000000053,1.429,-9.523,2.87,0.031,-0.005,0.006,-53.2,48.2,20.7,0.0,-7.372999999999999,0.76,0.0
7.72,0.1200000000000001,1.4369999999999998,-9.603,2.81,0.021,-0.012,-0.012,-52.7,48.8,19.6,-3.305,-8.593,-0.018000000000000002,0.0
7.74,0.14000000000000057,1.443,-9.588,2.8,0.028999999999999998,-0.03,-0.012,-53.7,47.9,21.2,-1.9769999999999999,-7.3020000000000005,-0.812,0.0
7.76,0.16000000000000014,1.463,-9.537,2.7439999999999998,0.02,-0.025,-0.009000000000000001,-53.3,48.8,20.6,-1.12,-5.904,0.0,0.0
7.78,0.1800000000000006,1.4909999999999999,-9.468,2.713,0.015,0.001,-0.008,-54.3,48.6,20.9,-1.281,-6.218999999999999,-0.64,0.0
7.8,0.20000000000000018,1.368,-9.431000000000001,2.747,-0.001,0.021,-0.005,-54.0,49.3,19.1,-1.135,-7.354,-0.857,0.0
7.82,0.22000000000000064,1.295,-9.472999999999999,2.783,-0.005,0.023,0.004,-53.6,48.7,20.2,-1.19,-8.274,-1.073,0.0
7.84,0.2400000000000002,1.334,-9.459,2.872,-0.008,0.015,0.017,-53.5,48.8,20.5,-3.016,-8.798,-0.33299999999999996,0.0
7.86,0.2600000000000007,1.1909999999999998,-9.433,2.8280000000000003,-0.018000000000000002,0.001,0.016,-52.7,49.3,19.8,-1.2229999999999999,-4.996,-1.2229999999999999,0.0
7.88,0.28000000000000025,1.341,-9.491,2.885,-0.024,-0.012,0.026000000000000002,-52.8,47.3,19.5,-2.487,-7.749,-0.573,0.0
7.9,0.3000000000000007,1.433,-9.472999999999999,2.96,-0.021,-0.011000000000000001,0.036000000000000004,-53.5,49.8,20.2,-2.266,-6.747999999999999,-0.152,0.0
7.92,0.3200000000000003,1.3980000000000001,-9.495,2.9539999999999997,-0.021,0.002,0.040999999999999995,-52.7,49.3,19.1,-1.208,-7.664,0.473,0.0
7.94,0.34000000000000075,1.32,-9.468,2.883,-0.024,0.015,0.048,-52.8,47.9,19.7,-3.3689999999999998,-6.778,-0.02,0.0
7.96,0.3600000000000003,1.338,-9.516,2.8110000000000004,-0.027000000000000003,0.002,0.044000000000000004,-52.5,49.2,20.5,-2.258,-6.305,-1.239,0.0
7.98,0.3800000000000008,1.337,-9.531,2.938,-0.032,-0.012,0.04,-53.4,49.5,20.1,-1.699,-7.72,1.435,0.0
8.0,0.40000000000000036,1.43,-9.482999999999999,2.905,-0.035,-0.02,0.038,-53.1,48.2,20.3,-1.204,-7.803999999999999,0.39799999999999996,0.0
8.02,0.41999999999999993,1.474,-9.479,2.892,-0.038,-0.011000000000000001,0.045,-52.6,48.7,18.9,-0.56,-7.257999999999999,-1.801,0.0
