time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
3.2,0.0,1.8969999999999998,9.376,1.413,0.003,0.033,-0.012,30.0,-51.0,40.3,0.0
3.22,0.020000000000000018,1.868,9.443999999999999,1.399,-0.002,0.047,-0.01,28.7,-51.4,39.8,0.0
3.24,0.040000000000000036,1.8780000000000001,9.411,1.4280000000000002,0.005,0.053,-0.005,29.0,-50.0,40.0,0.0
3.26,0.05999999999999961,1.807,9.42,1.365,0.006999999999999999,0.026000000000000002,-0.009000000000000001,28.9,-49.4,40.7,0.0
3.28,0.07999999999999963,1.808,9.46,1.393,0.006,0.022000000000000002,-0.012,27.6,-49.8,40.4,0.0
3.3,0.09999999999999964,1.76,9.454,1.355,0.005,0.044000000000000004,-0.02,27.9,-51.1,40.0,0.0
3.32,0.11999999999999966,1.757,9.465,1.357,0.006999999999999999,0.036000000000000004,-0.024,28.6,-50.4,39.3,0.0
3.34,0.13999999999999968,1.694,9.386000000000001,1.3159999999999998,0.004,0.013999999999999999,-0.023,28.0,-49.9,40.2,0.0
3.36,0.1599999999999997,1.8769999999999998,9.329,1.389,0.004,-0.006999999999999999,-0.013999999999999999,29.4,-50.3,39.2,0.0
3.38,0.17999999999999972,1.8359999999999999,9.477,1.3459999999999999,0.009000000000000001,0.005,-0.024,28.8,-49.7,39.8,0.0
3.4,0.19999999999999973,1.653,9.363,1.3880000000000001,0.009000000000000001,0.006,-0.026000000000000002,28.9,-51.6,41.3,0.0
3.42,0.21999999999999975,1.7730000000000001,9.357999999999999,1.3230000000000002,0.026000000000000002,-0.026000000000000002,-0.026000000000000002,28.5,-49.8,40.4,0.0
3.44,0.23999999999999977,1.8319999999999999,9.472000000000001,1.386,0.021,-0.025,-0.031,29.6,-49.7,40.5,0.0
3.46,0.2599999999999998,1.859,9.376,1.3969999999999998,0.03,-0.003,-0.055999999999999994,28.5,-50.8,40.6,0.0
3.48,0.2799999999999998,1.724,9.443,1.44,0.025,-0.013000000000000001,-0.040999999999999995,28.1,-50.2,40.9,0.0
3.5,0.2999999999999998,1.966,9.491,1.455,0.01,-0.047,-0.03,28.9,-49.2,40.6,0.0
3.52,0.31999999999999984,2.056,9.544,1.4780000000000002,0.006,-0.035,-0.031,29.2,-50.0,39.9,0.0
3.54,0.33999999999999986,2.0069999999999997,9.505,1.4509999999999998,-0.001,-0.018000000000000002,-0.013000000000000001,28.6,-50.3,40.0,0.0
3.56,0.3599999999999999,1.923,9.401,1.501,-0.011000000000000001,-0.027000000000000003,-0.003,29.3,-50.4,40.5,0.0
