time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
2.46,0.0,1.7069999999999999,-9.735,1.839,-0.002,-0.009000000000000001,-0.003,-57.1,49.7,15.8,0.0
2.48,0.020000000000000018,1.739,-9.674,1.911,-0.006999999999999999,-0.021,-0.018000000000000002,-57.4,49.9,15.1,0.0
2.5,0.040000000000000036,1.6769999999999998,-9.709,1.915,-0.011000000000000001,-0.02,-0.011000000000000001,-57.4,50.6,16.8,0.0
2.52,0.06000000000000005,1.6680000000000001,-9.685,1.91,-0.015,-0.018000000000000002,-0.009000000000000001,-57.7,50.2,15.3,0.0
2.54,0.08000000000000007,1.607,-9.718,1.885,-0.019,-0.012,0.002,-57.6,50.0,16.6,0.0
2.56,0.10000000000000009,1.631,-9.68,2.009,-0.02,-0.009000000000000001,0.004,-58.5,49.5,16.2,0.0
2.58,0.1200000000000001,1.6,-9.58,2.017,-0.027999999999999997,-0.021,0.006,-57.4,50.5,16.7,0.0
2.6,0.14000000000000012,1.534,-9.685,1.889,-0.018000000000000002,-0.022000000000000002,0.006,-58.0,48.9,16.8,0.0
2.62,0.16000000000000014,1.564,-9.732000000000001,1.994,-0.017,-0.015,0.018000000000000002,-57.6,50.6,16.1,0.0
2.64,0.18000000000000016,1.555,-9.734,2.068,-0.021,-0.026000000000000002,0.019,-58.7,48.8,16.6,0.0
2.66,0.20000000000000018,1.494,-9.808,2.042,-0.019,-0.027999999999999997,0.027999999999999997,-57.8,48.8,16.1,0.0
2.68,0.2200000000000002,1.5519999999999998,-9.749,2.04,-0.02,-0.036000000000000004,0.040999999999999995,-57.8,49.2,16.1,0.0
2.7,0.2400000000000002,1.4980000000000002,-9.789,2.003,-0.009000000000000001,-0.035,0.047,-58.0,49.5,15.9,0.0
2.72,0.26000000000000023,1.617,-9.732000000000001,2.05,-0.013999999999999999,-0.039,0.055999999999999994,-57.2,51.1,16.3,0.0
2.74,0.28000000000000025,1.646,-9.755,2.046,-0.018000000000000002,-0.033,0.059000000000000004,-58.6,50.7,15.3,0.0
2.76,0.2999999999999998,1.662,-9.759,2.001,-0.013999999999999999,-0.024,0.062,-57.5,51.1,15.6,0.0
2.78,0.31999999999999984,1.649,-9.699,1.98,-0.006999999999999999,-0.017,0.06,-58.4,48.9,16.2,0.0
2.8,0.33999999999999986,1.7,-9.691,2.033,-0.008,-0.013999999999999999,0.066,-59.5,50.0,15.9,0.0
2.82,0.3599999999999999,1.764,-9.66,2.021,-0.002,-0.005,0.055999999999999994,-57.7,49.6,16.2,0.0
2.84,0.3799999999999999,1.795,-9.705,2.015,0.001,-0.004,0.059000000000000004,-57.8,50.2,15.7,0.0
2.86,0.3999999999999999,1.7919999999999998,-9.791,1.959,0.006,-0.005,0.057,-57.0,51.0,16.0,0.0
2.88,0.41999999999999993,1.8030000000000002,-9.756,2.039,-0.002,-0.008,0.055999999999999994,-56.5,49.5,17.5,0.0
2.9,0.43999999999999995,1.7380000000000002,-9.762,1.9509999999999998,-0.001,-0.01,0.048,-57.5,50.3,15.4,0.0
2.92,0.45999999999999996,1.835,-9.771,1.905,0.001,-0.012,0.034,-57.9,49.7,15.8,0.0
2.94,0.48,1.797,-9.779,1.964,0.012,-0.013000000000000001,0.025,-57.3,49.2,15.6,0.0
2.96,0.5,1.785,-9.725,1.956,0.015,-0.01,0.012,-57.7,50.6,16.8,0.0
2.98,0.52,1.771,-9.702,1.909,0.009000000000000001,-0.005,0.01,-57.9,49.5,16.6,0.0
3.0,0.54,1.7269999999999999,-9.734,1.9409999999999998,0.006,-0.006999999999999999,0.006,-57.6,49.9,15.4,0.0
3.02,0.56,1.68,-9.727,1.91,0.01,-0.002,-0.001,-57.4,48.6,16.2,0.0
3.04,0.5800000000000001,1.733,-9.582,1.962,0.006999999999999999,-0.01,0.004,-56.9,49.5,16.2,0.0
3.06,0.6000000000000001,1.7730000000000001,-9.649,1.9980000000000002,0.015,0.003,0.006999999999999999,-57.6,48.5,15.6,0.0
3.08,0.6200000000000001,1.709,-9.732000000000001,1.933,0.006999999999999999,0.004,0.001,-58.4,50.5,16.6,0.0
3.1,0.6400000000000001,1.665,-9.76,1.902,0.005,0.003,0.005,-59.3,48.6,16.2,0.0
3.12,0.6600000000000001,1.696,-9.642999999999999,1.8530000000000002,-0.001,0.009000000000000001,0.009000000000000001,-57.5,49.0,14.5,0.0
3.14,0.6800000000000002,1.618,-9.743,1.9040000000000001,-0.005,0.01,0.008,-58.2,49.8,16.6,0.0
3.16,0.7000000000000002,1.611,-9.673,2.045,-0.006999999999999999,0.012,0.008,-57.9,51.0,16.4,0.0
3.18,0.7200000000000002,1.531,-9.646,1.996,-0.009000000000000001,-0.003,0.003,-58.6,48.8,17.7,0.0
3.2,0.7400000000000002,1.597,-9.623,1.876,-0.01,0.002,-0.002,-57.8,50.0,16.4,0.0
