time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
6.76,0.0,8.793,0.157,4.351,0.042,-0.034,0.0,-1.0,2.3,-2.4,0.0
6.78,0.020000000000000462,8.786,0.066,4.375,0.05,-0.036000000000000004,-0.001,-1.0,1.9,-1.4,0.0
6.8,0.040000000000000036,8.809,0.155,4.303999999999999,0.05,-0.038,0.0,-1.1,2.4,-2.0,0.0
6.82,0.0600000000000005,8.792,0.126,4.269,0.055,-0.042,-0.006999999999999999,-0.7,1.5,-2.4,0.0
6.84,0.08000000000000007,8.85,0.032,4.371,0.055999999999999994,-0.027000000000000003,-0.006,-1.2,1.1,-2.4,0.0
6.86,0.10000000000000053,8.865,0.12300000000000001,4.373,0.049,-0.025,0.003,-0.5,1.6,-2.0,0.0
6.88,0.1200000000000001,8.836,0.136,4.327,0.046,-0.017,0.0,-0.9,2.0,-2.4,0.0
6.9,0.14000000000000057,8.859,0.105,4.367,0.043,-0.018000000000000002,-0.004,-0.3,3.1,-2.5,0.0
6.92,0.16000000000000014,8.901,0.151,4.3389999999999995,0.047,-0.017,0.001,-0.1,2.4,-2.8,0.0
6.94,0.1800000000000006,8.868,0.159,4.301,0.037000000000000005,-0.018000000000000002,0.002,-0.9,3.5,-2.4,0.0
6.96,0.20000000000000018,8.808,0.129,4.268,0.043,-0.021,0.0,-1.1,2.6,-2.8,0.0
6.98,0.22000000000000064,8.852,0.146,4.2989999999999995,0.04,-0.023,-0.004,-0.2,2.4,-0.8,0.0
7.0,0.2400000000000002,8.85,0.177,4.333,0.04,-0.013999999999999999,-0.004,-0.9,2.3,-2.8,0.0
7.02,0.2599999999999998,8.882,0.139,4.353,0.037000000000000005,-0.003,-0.004,-1.1,2.5,-1.0,0.0
7.04,0.28000000000000025,8.801,0.158,4.282,0.040999999999999995,-0.012,-0.011000000000000001,-1.9,1.5,-1.9,0.0
