time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
3.58,0.0,3.016,9.01,1.893,-0.005,-0.053,-0.019,20.1,-47.0,34.8,0.0
3.6,0.020000000000000018,3.1510000000000002,9.044,1.8619999999999999,-0.001,-0.046,-0.024,20.7,-47.9,34.3,0.0
3.62,0.040000000000000036,3.175,9.008,1.9480000000000002,-0.006999999999999999,-0.043,-0.022000000000000002,19.9,-46.0,34.7,0.0
3.64,0.06000000000000005,3.145,9.047,1.9569999999999999,-0.002,-0.028999999999999998,-0.009000000000000001,21.2,-46.9,34.5,0.0
3.66,0.08000000000000007,3.16,8.999,1.9680000000000002,-0.002,-0.025,-0.018000000000000002,20.1,-46.2,34.2,0.0
3.68,0.10000000000000009,3.094,9.065,1.936,-0.002,-0.018000000000000002,-0.015,20.8,-45.9,34.5,0.0
3.7,0.1200000000000001,3.153,9.006,1.963,-0.009000000000000001,-0.027999999999999997,-0.013999999999999999,20.8,-46.8,34.9,0.0
3.72,0.14000000000000012,3.155,9.04,1.9509999999999998,-0.015,-0.025,-0.019,19.9,-45.9,34.6,0.0
3.74,0.16000000000000014,3.16,9.007,1.974,-0.015,-0.032,-0.012,21.3,-47.2,35.1,0.0
3.76,0.17999999999999972,3.22,8.99,1.953,-0.01,-0.027000000000000003,0.002,20.1,-46.4,35.2,0.0
3.78,0.19999999999999973,3.122,9.017999999999999,2.021,-0.013000000000000001,-0.011000000000000001,0.002,19.3,-47.6,34.5,0.0
3.8,0.21999999999999975,3.14,9.02,1.8940000000000001,-0.012,-0.021,0.002,20.7,-46.7,35.9,0.0
3.82,0.23999999999999977,3.145,9.017999999999999,1.965,-0.018000000000000002,-0.036000000000000004,0.006,19.8,-46.9,34.8,0.0
3.84,0.2599999999999998,3.1210000000000004,8.969,1.929,-0.004,-0.02,-0.009000000000000001,21.0,-46.5,35.4,0.0
3.86,0.2799999999999998,3.135,9.022,1.875,-0.001,-0.013000000000000001,-0.003,20.6,-46.6,34.4,0.0
3.88,0.2999999999999998,3.0869999999999997,9.032,1.915,0.002,-0.021,-0.011000000000000001,20.6,-47.4,34.1,0.0
3.9,0.31999999999999984,3.0980000000000003,9.017000000000001,1.911,0.002,-0.002,-0.008,20.5,-47.5,34.9,0.0
3.92,0.33999999999999986,3.13,8.998,1.9240000000000002,0.002,-0.002,-0.006,20.3,-47.1,34.9,0.0
3.94,0.3599999999999999,3.1430000000000002,9.003,1.954,0.006999999999999999,0.006,-0.008,19.1,-46.3,34.2,0.0
3.96,0.3799999999999999,3.102,9.058,1.92,0.009000000000000001,0.006,-0.015,19.2,-46.9,35.7,0.0
3.98,0.3999999999999999,3.1510000000000002,9.033999999999999,1.943,-0.003,0.003,-0.013000000000000001,19.9,-46.8,34.9,0.0
4.0,0.41999999999999993,3.198,8.945,1.963,0.006,0.011000000000000001,-0.01,22.3,-46.1,35.6,0.0
4.02,0.4399999999999995,3.2289999999999996,8.997,1.893,0.002,0.016,-0.01,21.0,-47.0,34.3,0.0
4.04,0.45999999999999996,3.241,9.049,1.899,0.016,0.035,-0.011000000000000001,20.3,-46.4,35.6,0.0
4.06,0.47999999999999954,3.141,9.048,1.94,0.01,0.05,-0.008,21.1,-46.5,35.7,0.0
4.08,0.5,3.088,9.057,1.91,0.01,0.045,0.0,20.3,-47.4,34.2,0.0
4.1,0.5199999999999996,3.076,9.105,1.909,0.005,0.034,0.006,20.1,-47.4,35.3,0.0
4.12,0.54,3.093,9.122,1.945,0.011000000000000001,0.042,-0.001,19.8,-47.1,34.1,0.0
4.14,0.5599999999999996,3.048,9.11,1.974,0.0,0.034,-0.009000000000000001,19.8,-47.9,34.7,0.0
4.16,0.5800000000000001,3.05,9.054,1.921,0.009000000000000001,0.044000000000000004,-0.008,21.0,-46.2,35.3,0.0
4.18,0.5999999999999996,3.141,9.012,2.011,-0.003,0.03,0.0,19.3,-46.8,35.6,0.0
4.2,0.6200000000000001,3.117,9.022,1.965,-0.002,0.028999999999999998,0.009000000000000001,19.6,-47.3,34.9,0.0
4.22,0.6399999999999997,3.042,9.043,1.932,-0.01,0.039,0.01,19.8,-47.0,35.3,0.0
4.24,0.6600000000000001,3.0039999999999996,9.001,1.911,-0.015,0.033,0.01,20.0,-47.3,34.7,0.0
4.26,0.6799999999999997,3.054,8.912,1.9,-0.018000000000000002,0.025,0.009000000000000001,20.4,-46.3,35.1,0.0
4.28,0.7000000000000002,3.033,8.971,1.871,-0.017,0.03,0.001,19.4,-47.6,35.6,0.0
4.3,0.7199999999999998,3.005,9.066,1.8159999999999998,-0.016,0.017,-0.006999999999999999,20.3,-46.6,35.2,0.0
4.32,0.7400000000000002,3.147,9.052999999999999,1.865,-0.019,0.015,-0.002,19.9,-46.1,35.2,0.0
4.34,0.7599999999999998,3.177,9.017999999999999,1.9040000000000001,-0.02,0.013000000000000001,-0.003,20.1,-46.7,34.7,0.0
4.36,0.7800000000000002,3.074,9.003,1.849,-0.023,0.018000000000000002,0.004,20.2,-46.6,33.4,0.0
4.38,0.7999999999999998,3.089,8.993,1.871,-0.017,0.015,0.009000000000000001,20.4,-46.3,35.1,0.0
4.4,0.8200000000000003,3.088,9.027000000000001,1.854,-0.018000000000000002,0.013000000000000001,0.01,20.5,-46.7,34.8,0.0
4.42,0.8399999999999999,3.175,8.977,1.96,-0.024,0.004,0.006999999999999999,20.1,-48.0,33.9,0.0
4.44,0.8600000000000003,3.095,9.009,1.896,-0.027999999999999997,-0.005,0.006999999999999999,20.1,-46.4,34.8,0.0
4.46,0.8799999999999999,3.093,8.958,1.912,-0.03,-0.015,0.005,20.9,-47.1,34.2,0.0
4.48,0.9000000000000004,3.158,9.074,1.9280000000000002,-0.024,-0.012,0.002,19.8,-46.4,33.8,0.0
4.5,0.9199999999999999,3.199,9.033,1.9909999999999999,-0.03,0.001,0.009000000000000001,18.5,-45.6,34.9,0.0
4.52,0.9399999999999995,3.0010000000000003,9.003,1.9469999999999998,-0.028999999999999998,-0.011000000000000001,0.015,19.5,-47.0,34.2,0.0
4.54,0.96,3.156,8.933,1.943,-0.025,-0.024,0.013000000000000001,20.5,-47.0,35.0,0.0
4.56,0.9799999999999995,3.072,9.016,1.963,-0.025,-0.001,0.004,20.1,-46.2,34.9,0.0
4.58,1.0,3.045,8.975,2.035,-0.021,0.004,-0.006,20.1,-48.1,34.9,1.0
4.6,1.0199999999999996,3.089,8.984,2.032,-0.018000000000000002,0.012,-0.011000000000000001,20.4,-46.7,35.1,1.0
4.62,1.04,3.0980000000000003,8.927999999999999,2.113,-0.027000000000000003,0.001,-0.015,20.0,-47.0,34.0,1.0
4.64,1.0599999999999996,3.0780000000000003,8.927999999999999,2.084,-0.031,-0.008,-0.009000000000000001,20.7,-46.3,34.3,1.0
4.66,1.08,3.136,9.008,2.0340000000000003,-0.035,-0.006999999999999999,-0.002,18.6,-47.1,34.2,1.0
4.68,1.0999999999999996,3.028,8.885,1.982,-0.03,-0.016,-0.003,20.3,-47.7,34.1,1.0
4.7,1.12,3.1010000000000004,8.958,1.989,-0.035,-0.013000000000000001,-0.013999999999999999,18.8,-47.2,34.2,1.0
4.72,1.1399999999999997,3.1489999999999996,8.998,2.076,-0.027999999999999997,0.0,-0.019,19.7,-46.9,34.2,1.0
4.74,1.1600000000000001,3.0039999999999996,8.869,2.094,-0.031,-0.013000000000000001,-0.019,20.6,-46.3,35.5,1.0
4.76,1.1799999999999997,2.907,8.777000000000001,2.1069999999999998,-0.019,-0.045,-0.009000000000000001,19.8,-46.7,34.7,1.0
4.78,1.2000000000000002,2.884,8.809,2.1319999999999997,-0.01,-0.084,0.013000000000000001,19.5,-47.0,34.2,1.0
4.8,1.2199999999999998,2.96,9.109,2.114,-0.012,-0.11199999999999999,0.022000000000000002,20.0,-47.5,33.9,1.0
4.82,1.2400000000000002,2.75,9.321,2.383,0.0,-0.114,0.036000000000000004,19.6,-47.3,35.1,1.0
4.84,1.2599999999999998,2.565,9.057,2.439,-0.0,-0.145,0.047,20.1,-47.0,34.2,1.0
4.86,1.2800000000000002,2.673,9.212,2.52,-0.015,-0.20600000000000002,0.038,19.4,-46.9,33.5,1.0
4.88,1.2999999999999998,2.6439999999999997,9.266,2.523,0.004,-0.213,0.001,19.6,-47.2,35.0,1.0
4.9,1.3200000000000003,2.638,9.237,2.6839999999999997,-0.006,-0.24600000000000002,-0.057,21.1,-47.7,34.7,1.0
4.92,1.3399999999999999,2.582,9.238999999999999,2.888,-0.012,-0.267,-0.11,19.6,-46.7,35.7,1.0
4.94,1.3600000000000003,2.5540000000000003,8.809,2.9339999999999997,-0.051,-0.359,-0.125,20.3,-47.6,35.6,1.0
4.96,1.38,2.53,8.552,3.013,-0.065,-0.447,-0.095,20.2,-47.4,34.1,1.0
4.98,1.4000000000000004,2.6889999999999996,8.378,3.055,-0.08900000000000001,-0.5479999999999999,-0.065,21.6,-46.6,34.7,1.0
5.0,1.42,3.0839999999999996,8.349,2.806,-0.069,-0.5429999999999999,-0.031,21.1,-46.9,34.8,1.0
5.02,1.4399999999999995,3.391,8.328,2.6719999999999997,-0.048,-0.433,-0.011000000000000001,20.5,-47.3,34.7,1.0
5.04,1.46,3.488,8.219,2.707,-0.005,-0.242,-0.005,21.3,-47.2,36.0,1.0
5.06,1.4799999999999995,3.3539999999999996,8.062999999999999,2.806,0.013999999999999999,-0.16899999999999998,-0.013999999999999999,21.6,-46.5,35.7,1.0
5.08,1.5,3.408,7.869,2.9560000000000004,0.003,-0.17300000000000001,-0.027000000000000003,21.3,-47.0,34.1,1.0
5.1,1.5199999999999996,3.65,7.772,2.883,-0.001,-0.20600000000000002,-0.017,21.8,-47.2,35.0,1.0
5.12,1.54,3.862,7.432,2.9539999999999997,-0.040999999999999995,-0.26,0.03,21.7,-47.8,36.1,1.0
5.14,1.5599999999999996,4.435,7.228,2.978,-0.071,-0.27,0.094,21.6,-46.8,35.3,1.0
5.16,1.58,4.248,6.792999999999999,3.085,-0.068,-0.22,0.214,21.6,-47.9,36.0,1.0
5.18,1.5999999999999996,5.091,6.877000000000001,2.5140000000000002,-0.132,-0.28300000000000003,0.316,20.8,-47.2,35.7,1.0
5.2,1.62,5.995,7.544,2.428,-0.053,-0.069,0.3,20.7,-46.7,35.0,1.0
5.22,1.6399999999999997,6.54,8.277000000000001,2.6260000000000003,-0.016,0.113,0.203,21.0,-48.0,35.9,1.0
5.24,1.6600000000000001,6.886,8.471,2.9419999999999997,-0.019,0.188,0.106,20.3,-47.3,36.7,1.0
5.26,1.6799999999999997,7.154,8.457,3.196,0.009000000000000001,0.223,0.040999999999999995,19.3,-47.4,33.8,1.0
5.28,1.7000000000000002,7.395,8.434,3.253,-0.021,0.036000000000000004,0.065,20.8,-48.3,35.1,1.0
5.3,1.7199999999999998,7.869,8.482999999999999,3.522,-0.062,-0.155,0.16,20.0,-48.1,35.3,1.0
5.32,1.7400000000000002,7.92,7.9639999999999995,3.807,-0.111,-0.23399999999999999,0.36700000000000005,20.1,-48.0,33.7,1.0
5.34,1.7599999999999998,7.947,7.371,3.935,-0.16,-0.18600000000000003,0.6,19.7,-48.5,35.0,1.0
5.36,1.7800000000000002,7.982,7.185,3.827,-0.18100000000000002,-0.077,0.8059999999999999,19.3,-47.4,34.9,1.0
5.38,1.7999999999999998,7.922999999999999,6.96,3.818,-0.192,0.132,1.028,17.7,-47.3,34.9,1.0
5.4,1.8200000000000003,7.319,6.742000000000001,3.7430000000000003,-0.21899999999999997,0.309,1.188,18.4,-46.7,33.8,1.0
5.42,1.8399999999999999,7.143,6.77,3.5189999999999997,-0.28,0.401,1.304,17.9,-47.7,34.5,1.0
5.44,1.8600000000000003,6.608,6.8229999999999995,3.333,-0.317,0.506,1.3459999999999999,16.3,-45.6,33.1,1.0
5.46,1.88,6.186,6.984,3.148,-0.379,0.513,1.34,16.1,-47.1,32.3,1.0
5.48,1.9000000000000004,5.852,7.13,2.865,-0.423,0.48,1.301,15.0,-46.7,31.7,1.0
5.5,1.92,5.683,7.246,2.593,-0.435,0.435,1.239,14.1,-46.3,31.2,1.0
5.52,1.9399999999999995,5.379,7.497999999999999,2.3169999999999997,-0.43700000000000006,0.34600000000000003,1.146,13.7,-46.4,31.7,1.0
5.54,1.96,5.221,7.787000000000001,2.104,-0.413,0.21899999999999997,1.033,12.8,-45.7,31.8,1.0
5.56,1.9799999999999995,4.99,7.897,1.861,-0.35700000000000004,0.107,0.907,12.5,-44.2,30.0,1.0
5.58,2.0,4.63,7.917999999999999,1.694,-0.282,0.02,0.773,11.7,-45.2,30.6,1.0
5.6,2.0199999999999996,4.626,8.432,1.829,-0.19899999999999998,0.006,0.595,11.6,-45.5,29.7,1.0
5.62,2.04,4.625,9.177999999999999,1.564,-0.094,0.008,0.317,9.5,-45.5,29.6,1.0
5.64,2.0599999999999996,4.82,10.337,1.334,0.044000000000000004,0.053,-0.040999999999999995,11.2,-44.8,28.2,1.0
5.66,2.08,4.221,10.862,1.264,0.267,0.12,-0.40399999999999997,9.4,-45.0,28.7,1.0
5.68,2.0999999999999996,4.117,11.052,1.172,0.42200000000000004,0.043,-0.77,11.9,-45.4,29.3,1.0
5.7,2.12,4.351,11.757,1.209,0.642,0.17800000000000002,-1.1320000000000001,10.6,-44.8,29.0,1.0
5.72,2.1399999999999997,4.071000000000001,12.08,1.405,0.7979999999999999,0.315,-1.411,11.1,-45.6,28.8,1.0
5.74,2.16,3.57,11.142999999999999,1.492,0.861,0.391,-1.5119999999999998,11.6,-47.0,29.7,1.0
5.76,2.1799999999999997,3.0789999999999997,9.654,1.569,0.9159999999999999,0.515,-1.464,12.9,-46.8,29.9,1.0
5.78,2.2,2.852,9.266,1.8869999999999998,0.871,0.555,-1.311,12.3,-47.6,29.6,1.0
5.8,2.2199999999999998,2.51,9.253,2.117,0.769,0.498,-1.148,12.9,-48.6,30.0,1.0
5.82,2.24,2.186,9.442,2.126,0.595,0.254,-1.005,13.0,-48.0,29.5,1.0
5.84,2.26,1.901,9.59,2.051,0.41700000000000004,-0.134,-0.946,13.7,-47.3,29.0,1.0
5.86,2.2800000000000002,2.075,9.564,2.01,0.24,-0.5720000000000001,-0.978,14.1,-48.0,29.1,1.0
5.88,2.3,2.0980000000000003,8.981,2.125,0.113,-0.9420000000000001,-1.036,13.1,-50.4,31.2,1.0
5.9,2.3200000000000003,1.9880000000000002,8.102,2.169,0.022000000000000002,-1.238,-1.071,15.4,-50.2,30.8,1.0
5.92,2.34,2.206,7.193,1.9709999999999999,-0.073,-1.4769999999999999,-1.068,16.1,-50.0,31.5,1.0
5.94,2.3600000000000003,2.542,6.52,1.671,-0.094,-1.4980000000000002,-1.081,15.5,-50.9,31.6,1.0
5.96,2.38,2.958,6.456,2.9210000000000003,-0.363,-1.3319999999999999,-1.2819999999999998,16.5,-49.9,31.6,1.0
5.98,2.4000000000000004,2.338,5.861000000000001,0.42100000000000004,-0.161,-1.3,-1.047,18.3,-51.2,32.1,1.0
6.0,2.42,2.8819999999999997,6.849,6.401,-0.026000000000000002,-1.423,-1.34,19.7,-52.6,33.1,1.0
6.02,2.4399999999999995,2.944,6.728,-0.601,-0.233,-1.9040000000000001,-1.251,21.1,-53.3,32.4,1.0
6.04,2.46,4.519,6.582999999999999,0.048,0.081,-0.726,-1.117,20.9,-54.0,33.5,1.0
6.06,2.4799999999999995,2.6919999999999997,6.9670000000000005,1.828,0.337,-0.094,-1.2990000000000002,23.4,-53.5,33.7,1.0
6.08,2.5,2.542,7.434,1.72,0.368,-0.445,-1.4080000000000001,24.4,-54.8,33.0,1.0
6.1,2.5199999999999996,2.9760000000000004,7.93,1.8880000000000001,0.423,-0.5670000000000001,-1.4369999999999998,24.8,-55.4,34.8,1.0
6.12,2.54,3.279,8.447000000000001,1.931,0.5720000000000001,-0.276,-1.421,25.6,-53.8,35.1,1.0
6.14,2.5599999999999996,3.1239999999999997,8.764,2.345,0.609,-0.193,-1.3659999999999999,26.4,-53.9,34.8,1.0
6.16,2.58,3.516,9.25,2.3819999999999997,0.64,-0.013000000000000001,-1.298,26.9,-53.3,35.6,1.0
6.18,2.5999999999999996,3.53,9.845,2.653,0.688,0.203,-1.26,27.5,-53.8,35.7,1.0
6.2,2.62,3.5869999999999997,10.825999999999999,2.92,0.69,0.321,-1.186,28.6,-54.0,36.3,1.0
6.22,2.6399999999999997,3.5410000000000004,11.585999999999999,3.165,0.657,0.318,-1.082,28.6,-54.1,35.9,1.0
6.24,2.66,3.589,12.911,3.283,0.611,0.235,-0.965,29.3,-53.1,35.9,1.0
6.26,2.6799999999999997,4.207,14.630999999999998,3.727,0.48200000000000004,0.13699999999999998,-0.889,28.5,-53.9,36.3,1.0
6.28,2.7,4.5489999999999995,15.357000000000001,4.279,0.3,0.17300000000000001,-0.736,30.0,-54.3,37.9,1.0
6.3,2.7199999999999998,5.0489999999999995,15.042,4.837,-0.019,0.29,-0.426,29.0,-53.3,37.8,1.0
6.32,2.74,4.58,12.401,4.4639999999999995,-0.359,0.44799999999999995,0.04,29.8,-54.0,36.8,1.0
6.34,2.76,3.781,10.478,3.3819999999999997,-0.601,0.523,0.573,28.6,-54.7,35.9,1.0
6.36,2.7800000000000002,3.378,10.545,2.309,-0.728,0.618,0.991,27.9,-54.9,36.1,1.0
6.38,2.8,3.028,11.31,1.8880000000000001,-0.852,0.561,1.262,27.5,-55.2,35.1,1.0
6.4,2.8200000000000003,3.5260000000000002,12.267000000000001,1.652,-0.972,0.49700000000000005,1.435,26.3,-53.9,33.4,1.0
6.42,2.84,3.423,13.091,2.1,-1.064,0.5589999999999999,1.591,26.1,-55.7,33.7,1.0
6.44,2.8600000000000003,2.853,12.449000000000002,2.197,-1.2670000000000001,0.33299999999999996,1.807,22.6,-57.1,31.1,1.0
6.46,2.88,2.22,10.814,1.97,-1.403,0.024,2.07,22.4,-56.8,29.9,1.0
6.48,2.9000000000000004,2.1390000000000002,9.645,1.76,-1.499,-0.335,2.342,21.0,-55.5,29.3,1.0
6.5,2.92,2.1790000000000003,8.838,1.452,-1.494,-0.49700000000000005,2.565,19.7,-54.9,27.8,1.0
6.52,2.9399999999999995,2.188,8.505,1.111,-1.45,-0.508,2.6839999999999997,17.3,-54.2,28.4,1.0
6.54,2.96,2.6630000000000003,8.304,0.561,-1.41,-0.386,2.7230000000000003,16.4,-53.6,27.8,1.0
6.56,2.9799999999999995,3.2089999999999996,8.139,0.009000000000000001,-1.2690000000000001,0.087,2.685,14.4,-52.7,26.6,1.0
6.58,3.0,2.911,8.137,-0.11800000000000001,-1.147,0.617,2.58,12.8,-51.0,25.9,1.0
6.6,3.0199999999999996,2.485,8.286,0.131,-1.085,0.985,2.403,11.1,-51.9,23.7,1.0
6.62,3.04,2.037,8.203,0.23399999999999999,-1.062,1.087,2.1830000000000003,9.3,-50.5,24.0,1.0
6.64,3.0599999999999996,1.805,8.019,0.40299999999999997,-1.037,0.975,1.925,9.9,-48.2,22.4,1.0
6.66,3.08,1.735,7.925,0.495,-0.988,0.691,1.642,8.3,-48.1,21.4,1.0
6.68,3.0999999999999996,1.5759999999999998,7.7620000000000005,0.6659999999999999,-0.934,0.294,1.371,6.7,-48.2,20.4,1.0
6.7,3.12,1.6159999999999999,7.555,0.654,-0.841,-0.049,1.1179999999999999,6.0,-48.0,19.3,1.0
