time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
3.46,0.019999999999999574,1.9069999999999998,-9.652000000000001,2.119,-0.019,0.012,0.01,-61.6,44.2,27.6,0.0
3.48,0.03999999999999959,1.9369999999999998,-9.685,2.074,-0.017,0.018000000000000002,0.018000000000000002,-61.3,44.0,25.7,0.0
3.5,0.05999999999999961,1.864,-9.613999999999999,2.063,-0.017,0.015,0.024,-61.1,45.2,28.5,0.0
3.52,0.07999999999999963,1.915,-9.63,2.104,-0.013000000000000001,0.006,0.023,-61.5,45.2,26.7,0.0
3.54,0.09999999999999964,1.8880000000000001,-9.672,2.082,-0.002,-0.005,0.022000000000000002,-61.0,45.2,26.3,0.0
3.56,0.11999999999999966,1.859,-9.612,2.044,-0.006,-0.004,0.013999999999999999,-61.2,45.2,26.0,0.0
3.58,0.13999999999999968,1.9269999999999998,-9.719,2.0380000000000003,0.002,-0.006999999999999999,0.016,-61.9,45.2,27.5,0.0
3.6,0.1599999999999997,1.921,-9.687999999999999,1.9969999999999999,0.0,-0.005,0.013999999999999999,-60.8,45.2,27.1,0.0
3.62,0.17999999999999972,2.0140000000000002,-9.705,1.989,0.001,-0.003,0.013999999999999999,-60.6,43.4,26.3,0.0
3.64,0.19999999999999973,1.954,-9.683,1.995,-0.006999999999999999,0.001,0.009000000000000001,-61.4,43.8,27.8,0.0
3.66,0.21999999999999975,1.966,-9.696,1.984,0.001,0.005,0.002,-61.5,43.8,27.0,0.0
3.68,0.23999999999999977,1.875,-9.663,1.949,-0.011000000000000001,0.0,-0.004,-60.6,44.2,27.0,0.0
3.7,0.2599999999999998,1.962,-9.655,1.963,-0.01,-0.003,-0.005,-59.8,44.9,25.6,0.0
3.72,0.2799999999999998,1.965,-9.641,1.885,-0.018000000000000002,0.006,-0.001,-60.8,45.1,26.7,0.0
3.74,0.2999999999999998,1.867,-9.677,1.964,-0.023,0.006,0.013000000000000001,-60.9,44.1,27.1,0.0
3.76,0.3199999999999994,1.929,-9.62,2.04,-0.023,0.017,0.013000000000000001,-61.7,44.3,26.9,0.0
3.78,0.3399999999999994,1.7830000000000001,-9.708,2.022,-0.027999999999999997,0.01,0.009000000000000001,-61.4,44.5,27.6,0.0
3.8,0.35999999999999943,1.85,-9.687999999999999,1.9340000000000002,-0.022000000000000002,0.003,0.011000000000000001,-61.1,44.5,27.5,0.0
3.82,0.37999999999999945,1.933,-9.638,1.975,-0.027999999999999997,-0.006999999999999999,0.013000000000000001,-61.7,45.1,27.6,0.0
3.84,0.39999999999999947,1.912,-9.72,1.919,-0.026000000000000002,-0.004,0.019,-61.4,45.6,29.2,0.0
3.86,0.4199999999999995,1.9069999999999998,-9.669,1.944,-0.027000000000000003,0.004,0.022000000000000002,-60.6,44.7,28.1,0.0
3.88,0.4399999999999995,1.8769999999999998,-9.686,1.911,-0.035,0.006,0.012,-61.6,44.4,27.1,0.0
