time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
7.24,0.0,9.054,-0.239,3.447,-0.013000000000000001,-0.002,-0.004,-52.2,-39.1,-29.3,0.0
7.26,0.019999999999999574,9.201,-0.205,3.3710000000000004,0.002,-0.027000000000000003,-0.001,-51.9,-39.0,-30.7,0.0
7.28,0.040000000000000036,9.205,-0.157,3.307,-0.013000000000000001,-0.025,0.002,-52.9,-39.0,-28.8,0.0
7.3,0.05999999999999961,9.217,-0.233,3.3289999999999997,-0.005,-0.006999999999999999,0.011000000000000001,-53.0,-38.2,-30.0,0.0
7.32,0.08000000000000007,9.247,-0.168,3.352,-0.003,-0.004,0.018000000000000002,-53.4,-38.1,-29.5,0.0
7.34,0.09999999999999964,9.317,-0.254,3.3089999999999997,0.006999999999999999,0.001,0.022000000000000002,-52.7,-39.6,-30.4,0.0
7.36,0.1200000000000001,9.309,-0.17600000000000002,3.2539999999999996,0.001,-0.001,0.016,-53.1,-39.6,-30.1,0.0
7.38,0.13999999999999968,9.217,-0.252,3.292,0.005,-0.002,0.017,-53.1,-39.4,-29.5,0.0
7.4,0.16000000000000014,9.232999999999999,-0.184,3.24,0.011000000000000001,-0.004,0.004,-53.3,-38.6,-29.4,0.0
7.42,0.17999999999999972,9.351,-0.133,3.237,0.019,0.001,0.004,-52.3,-39.4,-29.6,0.0
7.44,0.20000000000000018,9.312999999999999,-0.16699999999999998,3.2439999999999998,0.017,0.013000000000000001,0.003,-52.7,-38.5,-28.5,0.0
7.46,0.21999999999999975,9.14,-0.251,3.282,0.021,0.008,0.015,-52.2,-38.0,-30.0,0.0
7.48,0.2400000000000002,9.282,-0.153,3.28,0.017,0.008,0.004,-53.5,-36.8,-30.0,0.0
7.5,0.2599999999999998,9.252,-0.196,3.304,0.012,0.012,0.005,-53.4,-38.7,-30.3,0.0
7.52,0.27999999999999936,9.22,-0.168,3.28,0.024,0.015,0.01,-52.2,-38.7,-30.2,0.0
7.54,0.2999999999999998,9.255,-0.146,3.301,0.024,0.016,0.013000000000000001,-52.8,-38.3,-29.2,0.0
7.56,0.3199999999999994,9.21,-0.113,3.2680000000000002,0.018000000000000002,0.019,0.006999999999999999,-53.9,-39.4,-29.3,0.0
7.58,0.33999999999999986,9.246,-0.113,3.326,0.013999999999999999,0.033,0.006999999999999999,-52.0,-39.3,-29.7,0.0
7.6,0.35999999999999943,9.249,-0.08900000000000001,3.3489999999999998,0.024,0.027000000000000003,-0.001,-52.5,-38.8,-30.1,0.0
7.62,0.3799999999999999,9.222999999999999,-0.107,3.3930000000000002,0.027999999999999997,0.039,-0.001,-52.4,-38.4,-28.8,0.0
7.64,0.39999999999999947,9.172,-0.102,3.4139999999999997,0.013999999999999999,0.028999999999999998,-0.011000000000000001,-53.4,-38.5,-29.3,0.0
7.66,0.41999999999999993,9.214,-0.133,3.3739999999999997,0.013999999999999999,0.021,-0.006,-52.2,-38.1,-29.8,0.0
7.68,0.4399999999999995,9.152000000000001,-0.16699999999999998,3.318,0.012,0.012,-0.005,-51.8,-39.0,-29.3,0.0
7.7,0.45999999999999996,9.222000000000001,-0.165,3.283,0.017,0.006999999999999999,-0.004,-52.4,-37.9,-29.5,0.0
7.72,0.47999999999999954,9.266,-0.14,3.25,0.017,0.023,-0.004,-52.3,-38.0,-29.8,0.0
7.74,0.5,9.196,-0.221,3.307,0.015,0.026000000000000002,0.001,-53.0,-38.6,-30.7,0.0
7.76,0.5199999999999996,9.232999999999999,-0.184,3.304,0.01,0.022000000000000002,0.002,-53.7,-38.4,-30.4,0.0
7.78,0.54,9.146,-0.192,3.307,0.012,0.024,-0.0,-53.8,-39.1,-29.9,0.0
7.8,0.5599999999999996,9.305,-0.086,3.3930000000000002,0.019,0.032,-0.008,-52.3,-38.6,-29.6,0.0
7.82,0.5800000000000001,9.201,-0.107,3.358,0.017,0.039,0.0,-52.7,-38.5,-29.3,0.0
7.84,0.5999999999999996,9.147,-0.166,3.428,0.005,0.019,0.005,-54.1,-38.5,-29.6,0.0
7.86,0.6200000000000001,9.142000000000001,-0.04,3.4189999999999996,0.01,0.008,0.008,-52.0,-38.2,-29.6,0.0
7.88,0.6399999999999997,9.161,-0.135,3.323,0.009000000000000001,0.015,0.004,-52.4,-38.8,-30.7,0.0
7.9,0.6600000000000001,9.158999999999999,-0.177,3.343,0.004,0.021,-0.004,-52.7,-39.9,-29.8,0.0
7.92,0.6799999999999997,9.146,-0.153,3.333,0.009000000000000001,0.01,-0.001,-53.4,-39.4,-29.3,0.0
7.94,0.7000000000000002,9.222000000000001,-0.187,3.3480000000000003,0.016,0.011000000000000001,-0.003,-52.7,-38.9,-29.6,0.0
7.96,0.7199999999999998,9.199,-0.12,3.2960000000000003,0.012,0.017,-0.001,-52.2,-39.3,-29.3,0.0
7.98,0.7400000000000002,9.261000000000001,-0.156,3.332,0.019,0.015,0.01,-52.4,-39.1,-29.0,0.0
8.0,0.7599999999999998,9.297,-0.214,3.325,0.022000000000000002,0.009000000000000001,0.009000000000000001,-52.9,-39.7,-29.5,0.0
8.02,0.7799999999999994,9.207,-0.083,3.321,0.032,0.022000000000000002,0.02,-52.9,-38.9,-29.3,0.0
8.04,0.7999999999999989,9.193,-0.182,3.3539999999999996,0.021,0.023,0.018000000000000002,-54.7,-37.7,-29.1,0.0
8.06,0.8200000000000003,9.215,-0.183,3.3310000000000004,0.027999999999999997,0.013000000000000001,0.018000000000000002,-52.4,-39.1,-29.7,0.0
8.08,0.8399999999999999,9.157,-0.115,3.353,0.034,0.013000000000000001,0.018000000000000002,-53.0,-38.1,-29.6,0.0
8.1,0.8599999999999994,9.201,-0.145,3.366,0.026000000000000002,0.016,0.015,-51.9,-39.7,-29.9,0.0
8.12,0.879999999999999,9.222000000000001,-0.126,3.342,0.016,0.012,0.013999999999999999,-52.3,-37.5,-29.3,0.0
8.14,0.9000000000000004,9.246,-0.162,3.352,0.017,0.005,0.006999999999999999,-52.5,-37.8,-30.5,0.0
8.16,0.9199999999999999,9.258,-0.145,3.323,0.006999999999999999,0.006,0.012,-52.8,-38.4,-30.3,0.0
8.18,0.9399999999999995,9.235,-0.147,3.266,0.008,0.016,0.008,-52.9,-39.6,-30.1,0.0
8.2,0.9599999999999991,9.369,-0.068,3.236,0.015,0.021,0.012,-52.9,-39.1,-29.5,0.0
8.22,0.9800000000000004,9.253,-0.085,3.195,0.006,0.024,0.024,-52.9,-38.1,-30.0,0.0
8.24,1.0,9.341000000000001,-0.098,3.213,0.002,0.035,0.015,-52.1,-38.0,-30.0,1.0
8.26,1.0199999999999996,9.492,-0.049,3.159,-0.006,0.043,0.015,-53.5,-38.6,-29.4,1.0
8.28,1.0399999999999991,9.491,-0.07400000000000001,3.103,-0.008,0.061,0.016,-52.6,-38.1,-29.2,1.0
8.3,1.0600000000000005,9.49,-0.024,3.105,-0.016,0.07400000000000001,0.013000000000000001,-52.7,-38.5,-28.8,1.0
8.32,1.08,9.583,0.059000000000000004,3.04,-0.023,0.092,0.009000000000000001,-52.0,-38.2,-28.7,1.0
8.34,1.0999999999999996,9.55,0.053,3.094,-0.022000000000000002,0.11,0.01,-52.6,-38.6,-30.5,1.0
8.36,1.1199999999999992,9.499,0.078,3.0469999999999997,-0.031,0.113,0.0,-52.9,-38.7,-30.5,1.0
8.38,1.1400000000000006,9.405,0.05,2.99,-0.033,0.094,-0.002,-52.4,-38.5,-30.2,1.0
8.4,1.1600000000000001,9.488999999999999,0.099,2.968,-0.013999999999999999,0.10400000000000001,-0.005,-52.5,-38.9,-28.4,1.0
8.42,1.1799999999999997,9.253,-0.013000000000000001,3.042,0.013000000000000001,0.14300000000000002,0.019,-52.8,-37.8,-29.1,1.0
8.44,1.1999999999999993,9.191,-0.077,3.108,0.02,0.12,0.023,-52.8,-39.3,-30.0,1.0
8.46,1.2200000000000006,9.269,-0.122,3.178,0.046,0.11699999999999999,0.027000000000000003,-52.1,-39.3,-29.7,1.0
8.48,1.2400000000000002,9.07,-0.22399999999999998,3.167,0.08,0.11900000000000001,0.040999999999999995,-51.6,-39.4,-29.9,1.0
8.5,1.2599999999999998,9.277000000000001,-0.23,3.075,0.146,0.075,0.046,-52.1,-38.7,-28.8,1.0
8.52,1.2799999999999994,9.163,-0.159,2.95,0.159,0.102,0.065,-52.6,-38.1,-29.6,1.0
8.54,1.299999999999999,9.207,0.006,2.9419999999999997,0.185,0.111,0.052000000000000005,-51.7,-39.0,-30.3,1.0
8.56,1.3200000000000003,9.117,0.124,3.065,0.171,0.128,0.027999999999999997,-52.9,-39.2,-29.0,1.0
8.58,1.3399999999999999,9.078,0.382,3.065,0.156,0.142,-0.013000000000000001,-51.8,-38.6,-29.4,1.0
8.6,1.3599999999999994,9.105,0.596,3.123,0.111,0.133,-0.059000000000000004,-53.4,-39.2,-29.4,1.0
8.62,1.379999999999999,9.092,0.708,3.248,0.075,0.124,-0.08800000000000001,-52.3,-39.2,-29.6,1.0
8.64,1.4000000000000004,9.122,0.6940000000000001,3.318,0.025,0.111,-0.11599999999999999,-52.9,-39.0,-28.8,1.0
8.66,1.42,9.207,0.594,3.2430000000000003,-0.024,0.09300000000000001,-0.124,-51.7,-39.8,-30.8,1.0
8.68,1.4399999999999995,8.88,0.645,3.1630000000000003,-0.051,0.106,-0.12300000000000001,-52.3,-39.1,-29.0,1.0
8.7,1.459999999999999,8.795,0.494,2.988,-0.081,0.109,-0.11800000000000001,-53.0,-39.4,-30.2,1.0
8.72,1.4800000000000004,8.33,0.371,2.7910000000000004,-0.11900000000000001,0.135,-0.1,-52.2,-38.6,-29.3,1.0
8.74,1.5,8.21,0.036000000000000004,2.7060000000000004,-0.16,0.11699999999999999,-0.054000000000000006,-51.8,-37.2,-29.7,1.0
