time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
6.92,0.0,8.179,0.175,5.425,-0.004,0.038,0.05,-56.4,-41.8,-39.4,0.0
6.94,0.020000000000000462,8.148,0.23,5.426,0.042,0.001,0.048,-55.0,-40.8,-38.8,0.0
6.96,0.040000000000000036,8.475,0.136,5.369,0.012,0.031,0.063,-56.3,-41.2,-38.3,0.0
6.98,0.0600000000000005,8.292,0.131,5.412000000000001,0.026000000000000002,0.043,0.063,-56.3,-41.7,-37.7,0.0
7.0,0.08000000000000007,8.051,0.204,5.547999999999999,0.017,0.021,0.048,-55.8,-42.1,-37.5,0.0
7.02,0.09999999999999964,8.249,0.2,5.398,0.03,0.001,0.039,-55.8,-42.4,-39.2,0.0
7.04,0.1200000000000001,8.378,0.1,5.482,0.046,0.021,0.034,-56.4,-41.8,-37.6,0.0
7.06,0.13999999999999968,8.142999999999999,0.18899999999999997,5.4670000000000005,0.009000000000000001,0.04,0.043,-54.9,-41.8,-37.9,0.0
7.08,0.16000000000000014,8.027000000000001,0.195,5.454,0.027999999999999997,0.005,0.03,-55.5,-42.3,-37.9,0.0
7.1,0.17999999999999972,8.326,0.09699999999999999,5.502999999999999,0.03,0.006999999999999999,0.026000000000000002,-55.5,-42.2,-38.0,0.0
7.12,0.20000000000000018,8.236,0.142,5.3229999999999995,0.016,0.037000000000000005,0.035,-55.7,-42.4,-38.4,0.0
7.14,0.21999999999999975,8.109,0.191,5.462000000000001,0.017,0.025,0.025,-54.9,-42.3,-38.4,0.0
7.16,0.2400000000000002,8.138,0.11900000000000001,5.597,0.023,0.024,0.025,-55.8,-41.4,-37.5,0.0
7.18,0.2599999999999998,8.25,0.024,5.517,0.016,0.013999999999999999,0.016,-56.1,-41.5,-38.1,0.0
7.2,0.28000000000000025,8.266,0.115,5.359,0.01,0.023,0.011000000000000001,-56.3,-41.7,-36.7,0.0
7.22,0.2999999999999998,8.091000000000001,0.053,5.471,0.025,0.001,0.016,-55.9,-41.7,-38.4,0.0
7.24,0.3200000000000003,8.23,0.107,5.474,0.011000000000000001,0.008,0.015,-55.7,-42.5,-38.8,0.0
7.26,0.33999999999999986,8.257,0.09300000000000001,5.507999999999999,0.031,0.024,0.012,-55.5,-41.4,-37.7,0.0
7.28,0.3600000000000003,8.205,0.06,5.551,0.021,0.025,0.01,-55.5,-42.4,-37.2,0.0
7.3,0.3799999999999999,8.244,0.139,5.447,0.028999999999999998,-0.006999999999999999,0.0,-55.7,-41.7,-38.1,0.0
7.32,0.40000000000000036,8.456,0.14800000000000002,5.167999999999999,0.015,0.03,-0.01,-55.7,-41.9,-38.2,0.0
7.34,0.41999999999999993,8.166,0.172,5.431,0.016,0.033,-0.006999999999999999,-54.0,-41.8,-38.0,0.0
7.36,0.4400000000000004,8.158999999999999,0.142,5.547000000000001,0.021,0.02,0.0,-56.1,-41.8,-37.8,0.0
7.38,0.45999999999999996,8.219,0.18100000000000002,5.551,0.009000000000000001,0.018000000000000002,-0.005,-55.7,-41.7,-38.4,0.0
7.4,0.4800000000000004,8.062000000000001,0.159,5.496,0.003,0.006,0.002,-55.9,-41.0,-38.4,0.0
7.42,0.5,8.214,0.23800000000000002,5.414,0.001,-0.003,-0.006,-54.5,-41.7,-38.5,0.0
