time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
1.98,0.0,1.715,9.307,1.901,0.005,0.039,0.018000000000000002,-77.6,-1.7,43.6,0.0
2.0,0.020000000000000018,1.7730000000000001,9.289,1.919,0.001,0.04,0.03,-77.1,-2.2,44.0,0.0
2.02,0.040000000000000036,1.76,9.335,1.903,-0.01,0.033,0.057,-76.6,-1.6,44.6,0.0
2.04,0.06000000000000005,1.65,9.323,1.883,-0.023,0.02,0.061,-77.1,-1.2,44.7,0.0
2.06,0.08000000000000007,1.5590000000000002,9.261000000000001,1.9140000000000001,-0.028999999999999998,-0.008,0.07400000000000001,-77.8,-1.6,43.6,0.0
2.08,0.10000000000000009,1.6130000000000002,9.353,1.891,-0.037000000000000005,-0.018000000000000002,0.073,-77.7,-0.8,44.4,0.0
2.1,0.1200000000000001,1.6369999999999998,9.262,1.828,-0.045,-0.006999999999999999,0.071,-76.6,-1.0,43.9,0.0
2.12,0.14000000000000012,1.6059999999999999,9.334,1.8359999999999999,-0.039,-0.012,0.073,-77.2,-0.8,44.0,0.0
2.14,0.16000000000000014,1.5519999999999998,9.298,1.7990000000000002,-0.045,-0.013000000000000001,0.054000000000000006,-76.9,-1.5,44.8,0.0
2.16,0.18000000000000016,1.574,9.255,1.805,-0.046,-0.013000000000000001,0.04,-76.6,-0.5,43.7,0.0
2.18,0.20000000000000018,1.5730000000000002,9.254,1.7690000000000001,-0.040999999999999995,-0.013000000000000001,0.040999999999999995,-77.6,-1.6,43.7,0.0
2.2,0.2200000000000002,1.598,9.267000000000001,1.756,-0.046,-0.022000000000000002,0.032,-76.7,-0.5,43.1,0.0
2.22,0.2400000000000002,1.5490000000000002,9.256,1.744,-0.027000000000000003,-0.022000000000000002,0.028999999999999998,-77.1,-2.1,44.0,0.0
2.24,0.26000000000000023,1.58,9.272,1.791,-0.019,-0.038,0.023,-76.5,-1.6,42.9,0.0
2.26,0.2799999999999998,1.6909999999999998,9.315,1.778,-0.009000000000000001,-0.038,0.026000000000000002,-77.9,-1.5,44.0,0.0
2.28,0.2999999999999998,1.692,9.379,1.847,-0.006999999999999999,-0.028999999999999998,0.023,-76.8,-0.9,44.1,0.0
2.3,0.31999999999999984,1.653,9.312999999999999,1.786,-0.003,-0.022000000000000002,0.026000000000000002,-76.4,-1.6,43.1,0.0
