time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
6.68,0.0,1.99,-9.709,2.022,-0.01,0.025,0.038,-59.6,58.9,11.9,0.0
6.7,0.020000000000000462,2.057,-9.664,2.033,-0.009000000000000001,0.027000000000000003,0.044000000000000004,-58.7,58.8,11.8,0.0
6.72,0.040000000000000036,2.008,-9.616,2.08,-0.011000000000000001,0.037000000000000005,0.036000000000000004,-59.4,59.6,11.8,0.0
6.74,0.0600000000000005,1.979,-9.691,2.1,-0.009000000000000001,0.025,0.04,-59.8,59.7,11.1,0.0
6.76,0.08000000000000007,1.9509999999999998,-9.628,1.9780000000000002,0.001,0.022000000000000002,0.027999999999999997,-59.4,59.1,10.9,0.0
6.78,0.10000000000000053,1.9609999999999999,-9.601,2.0140000000000002,0.0,0.002,0.028999999999999998,-58.8,59.4,11.8,0.0
6.8,0.1200000000000001,2.01,-9.611,2.116,0.001,-0.002,0.03,-60.1,59.1,11.9,0.0
6.82,0.14000000000000057,2.089,-9.623,2.072,0.012,-0.008,0.019,-58.8,58.0,11.2,0.0
6.84,0.16000000000000014,1.97,-9.645,2.017,0.018000000000000002,-0.016,0.008,-58.7,59.0,10.7,0.0
6.86,0.1800000000000006,2.077,-9.692,2.0340000000000003,0.025,-0.019,0.0,-58.5,57.9,12.2,0.0
6.88,0.20000000000000018,2.164,-9.701,2.049,0.013000000000000001,-0.008,0.004,-58.5,58.6,11.9,0.0
6.9,0.22000000000000064,2.009,-9.658999999999999,2.039,0.011000000000000001,0.013999999999999999,0.006,-59.8,58.7,11.2,0.0
6.92,0.2400000000000002,2.108,-9.567,2.1,0.008,0.006999999999999999,0.018000000000000002,-59.8,59.0,11.5,0.0
6.94,0.2600000000000007,2.104,-9.625,2.069,0.008,0.025,0.006999999999999999,-59.0,58.2,12.1,0.0
6.96,0.28000000000000025,2.021,-9.532,2.088,0.013000000000000001,0.001,0.013999999999999999,-58.8,58.2,11.3,0.0
6.98,0.3000000000000007,1.992,-9.639,2.06,0.013999999999999999,0.01,0.012,-59.3,58.9,11.0,0.0
7.0,0.3200000000000003,1.954,-9.607999999999999,2.035,0.018000000000000002,-0.001,0.0,-60.2,57.8,11.7,0.0
7.02,0.33999999999999986,1.966,-9.588,2.0380000000000003,0.015,0.008,0.006999999999999999,-57.6,58.6,12.0,0.0
7.04,0.3600000000000003,2.031,-9.62,2.085,0.013999999999999999,-0.002,0.002,-59.1,57.4,11.5,0.0
7.06,0.3799999999999999,1.935,-9.591000000000001,2.0,0.015,-0.015,-0.006999999999999999,-59.1,57.5,11.7,0.0
7.08,0.40000000000000036,2.046,-9.603,2.044,0.008,-0.011000000000000001,-0.011000000000000001,-59.2,59.8,11.0,0.0
7.1,0.41999999999999993,2.039,-9.605,2.162,0.018000000000000002,-0.005,-0.018000000000000002,-58.8,57.9,11.6,0.0
7.12,0.4400000000000004,2.153,-9.595,2.142,0.017,-0.012,0.002,-59.2,58.8,11.1,0.0
7.14,0.45999999999999996,2.3280000000000003,-9.548,2.14,0.009000000000000001,0.032,0.002,-60.0,58.3,10.6,0.0
7.16,0.4800000000000004,2.233,-9.585,2.061,0.006,0.083,0.005,-59.6,59.2,11.4,0.0
7.18,0.5,2.191,-9.629,2.009,-0.013999999999999999,0.12,0.004,-59.2,58.0,10.8,0.0
7.2,0.5200000000000005,2.141,-9.502,2.055,-0.026000000000000002,0.141,-0.0,-59.0,58.0,11.3,0.0
7.22,0.54,2.161,-9.609,2.046,-0.027000000000000003,0.18100000000000002,0.002,-60.1,57.8,10.4,0.0
7.24,0.5600000000000005,1.932,-9.583,2.176,-0.033,0.162,0.003,-59.0,59.1,12.7,0.0
7.26,0.5800000000000001,1.992,-9.612,2.069,-0.036000000000000004,0.14400000000000002,-0.004,-59.0,58.4,13.1,0.0
