time_s,time_new,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,condition
4.5,0.0,8.732000000000001,-0.556,4.572,-0.032,0.003,-0.012,-14.7,3.0,3.4,0.0
4.52,0.019999999999999574,8.626,-0.563,4.613,-0.040999999999999995,0.01,-0.008,-16.0,3.4,2.6,0.0
4.54,0.040000000000000036,8.588,-0.541,4.633,-0.037000000000000005,0.015,-0.015,-15.8,2.5,2.7,0.0
4.56,0.05999999999999961,8.637,-0.528,4.728,-0.053,0.009000000000000001,-0.015,-15.4,2.8,0.9,0.0
4.58,0.08000000000000007,8.658999999999999,-0.505,4.586,-0.052000000000000005,-0.003,-0.017,-17.0,2.7,3.1,0.0
4.6,0.09999999999999964,8.708,-0.5589999999999999,4.61,-0.052000000000000005,-0.001,-0.022000000000000002,-15.1,2.6,2.9,0.0
4.62,0.1200000000000001,8.681000000000001,-0.561,4.688,-0.052000000000000005,0.009000000000000001,-0.025,-15.8,2.2,4.2,0.0
4.64,0.13999999999999968,8.722000000000001,-0.584,4.5969999999999995,-0.039,-0.004,-0.025,-16.1,2.8,3.3,0.0
4.66,0.16000000000000014,8.556000000000001,-0.5589999999999999,4.512,-0.075,0.018000000000000002,-0.021,-15.6,1.6,2.2,0.0
4.68,0.17999999999999972,8.664,-0.603,4.563,-0.067,-0.015,-0.027000000000000003,-15.1,2.5,2.4,0.0
4.7,0.20000000000000018,8.631,-0.631,4.654,-0.057999999999999996,-0.013000000000000001,-0.019,-16.5,2.1,3.5,0.0
4.72,0.21999999999999975,8.617,-0.568,4.592,-0.057,-0.019,-0.018000000000000002,-14.8,3.1,3.3,0.0
4.74,0.2400000000000002,8.7,-0.622,4.539,-0.057,-0.021,-0.016,-15.4,1.7,3.9,0.0
4.76,0.2599999999999998,8.715,-0.5770000000000001,4.518,-0.054000000000000006,-0.02,-0.017,-15.5,2.0,3.5,0.0
4.78,0.28000000000000025,8.741,-0.657,4.5969999999999995,-0.055,-0.017,-0.013999999999999999,-15.2,2.6,3.1,0.0
4.8,0.2999999999999998,8.664,-0.622,4.582,-0.052000000000000005,-0.012,-0.019,-15.3,1.7,3.6,0.0
4.82,0.3200000000000003,8.652000000000001,-0.623,4.603,-0.048,-0.021,-0.017,-16.3,1.5,3.8,0.0
4.84,0.33999999999999986,8.704,-0.616,4.48,-0.044000000000000004,-0.027000000000000003,-0.015,-15.3,2.2,3.3,0.0
4.86,0.3600000000000003,8.689,-0.608,4.5280000000000005,-0.043,-0.026000000000000002,-0.016,-16.7,3.5,3.5,0.0
4.88,0.3799999999999999,8.705,-0.5870000000000001,4.586,-0.05,-0.038,-0.011000000000000001,-15.6,0.9,3.7,0.0
4.9,0.40000000000000036,8.683,-0.594,4.658,-0.047,-0.035,-0.018000000000000002,-16.4,3.2,3.2,0.0
4.92,0.41999999999999993,8.769,-0.612,4.6819999999999995,-0.036000000000000004,-0.027999999999999997,-0.017,-15.9,2.8,3.0,0.0
4.94,0.4400000000000004,8.822000000000001,-0.596,4.792,-0.031,-0.016,-0.013000000000000001,-13.4,1.7,3.6,0.0
4.96,0.45999999999999996,8.756,-0.556,4.788,-0.023,-0.02,-0.005,-15.3,3.3,4.4,0.0
4.98,0.4800000000000004,8.65,-0.545,4.843,-0.013999999999999999,-0.023,-0.002,-15.4,1.9,3.4,0.0
5.0,0.5,8.525,-0.442,4.825,0.002,-0.008,0.003,-15.7,1.8,3.8,0.0
5.02,0.5199999999999996,8.437000000000001,-0.41100000000000003,4.827,0.005,-0.016,-0.006,-14.7,0.7,4.3,0.0
5.04,0.54,8.452,-0.314,4.883,0.006,-0.018000000000000002,-0.006,-15.5,3.3,3.4,0.0
5.06,0.5599999999999996,8.304,-0.396,4.894,0.013000000000000001,-0.038,-0.019,-14.9,1.9,3.1,0.0
5.08,0.5800000000000001,8.391,-0.345,4.899,0.013999999999999999,-0.055999999999999994,-0.040999999999999995,-16.1,2.0,3.9,0.0
5.1,0.5999999999999996,8.55,-0.203,4.508,0.0,-0.068,-0.045,-14.6,1.2,4.0,0.0
5.12,0.6200000000000001,8.285,-0.451,4.962,-0.061,-0.114,-0.054000000000000006,-16.2,2.0,5.1,0.0
5.14,0.6399999999999997,8.681000000000001,-0.402,4.9430000000000005,-0.015,-0.107,-0.047,-16.8,2.9,4.3,0.0
5.16,0.6600000000000001,8.703,-0.184,4.933,-0.019,-0.07400000000000001,-0.053,-16.5,2.3,4.5,0.0
5.18,0.6799999999999997,8.647,-0.298,4.9319999999999995,-0.013999999999999999,-0.048,-0.059000000000000004,-16.1,2.4,4.0,0.0
5.2,0.7000000000000002,8.647,-0.345,4.992,-0.023,-0.032,-0.051,-15.0,2.5,5.3,0.0
5.22,0.7199999999999998,8.488,-0.326,5.046,-0.028999999999999998,-0.018000000000000002,-0.057,-15.8,2.3,4.9,0.0
5.24,0.7400000000000002,8.378,-0.313,5.027,-0.023,-0.019,-0.055999999999999994,-15.4,2.4,4.5,0.0
5.26,0.7599999999999998,8.47,-0.302,5.008,0.003,-0.032,-0.065,-14.6,2.1,2.9,0.0
5.28,0.7800000000000002,8.305,-0.331,4.959,0.002,-0.069,-0.069,-16.5,2.0,4.7,0.0
5.3,0.7999999999999998,8.162,-0.386,4.859,0.016,-0.105,-0.061,-15.6,2.4,3.9,0.0
5.32,0.8200000000000003,7.8870000000000005,-0.40700000000000003,4.788,0.021,-0.135,-0.057,-15.0,2.3,4.9,0.0
5.34,0.8399999999999999,7.3229999999999995,-0.625,4.378,0.05,-0.14800000000000002,-0.039,-16.1,1.6,5.1,0.0
5.36,0.8600000000000003,6.402,-0.929,4.092,0.083,-0.204,0.001,-15.2,2.0,4.5,0.0
5.38,0.8799999999999999,6.17,-1.3130000000000002,4.246,0.043,-0.335,0.037000000000000005,-15.9,2.7,3.8,0.0
5.4,0.9000000000000004,7.847,-1.6159999999999999,5.162999999999999,0.018000000000000002,-0.722,0.069,-15.2,4.0,4.4,0.0
5.42,0.9199999999999999,9.642999999999999,-1.42,5.029,0.027000000000000003,-0.8490000000000001,0.09,-15.7,2.9,5.6,0.0
5.44,0.9400000000000004,9.482000000000001,-1.263,4.894,0.062,-0.7829999999999999,0.10099999999999999,-15.0,2.7,5.5,0.0
5.46,0.96,10.255999999999998,-1.1420000000000001,5.103,0.08800000000000001,-0.727,0.055,-16.1,3.9,6.2,0.0
